portfolio_id,student_id,projects,certifications,github_repositories,github_score
273,1273,4,3,14,66
274,1274,3,5,8,56
275,1275,1,2,1,33
276,1276,2,2,12,33
277,1277,2,1,10,60
278,1278,3,4,6,39
279,1279,5,6,7,69
280,1280,2,3,3,26
281,1281,1,2,8,37
282,1282,1,2,3,41
283,1283,2,2,6,37
284,1284,3,5,13,51
285,1285,3,3,4,51
286,1286,2,1,11,59
287,1287,1,2,9,26
288,1288,2,2,2,63
289,1289,1,1,5,37
290,1290,1,2,3,22
291,1291,2,3,4,33
292,1292,2,3,2,37
293,1293,2,3,2,26
294,1294,3,3,5,52
295,1295,5,4,5,53
296,1296,3,3,10,24
297,1297,1,1,9,10
298,1298,2,2,8,43
299,1299,2,0,11,49
300,1300,4,6,4,86
301,1301,3,2,10,46
302,1302,3,5,11,46
303,1303,1,1,6,30
304,1304,3,3,9,54
305,1305,4,5,5,60
306,1306,1,2,4,24
307,1307,5,3,10,96
308,1308,2,3,8,29
309,1309,3,5,11,51
310,1310,1,1,4,16
311,1311,1,1,9,40
312,1312,3,5,3,60
313,1313,2,4,3,11
314,1314,4,4,11,62
315,1315,4,2,12,53
316,1316,3,3,9,62
317,1317,4,4,14,69
318,1318,4,3,12,80
319,1319,5,5,8,68
320,1320,3,3,7,43
321,1321,5,4,7,64
322,1322,1,3,4,34
323,1323,2,2,11,39
324,1324,2,4,3,44
325,1325,3,4,3,47
326,1326,2,3,10,39
327,1327,4,4,5,66
328,1328,2,3,4,39
329,1329,1,0,1,45
330,1330,2,2,4,28
331,1331,3,4,5,54
332,1332,3,4,9,64
333,1333,2,1,9,46
334,1334,2,2,10,24
335,1335,2,3,2,42
336,1336,2,2,10,34
337,1337,1,1,7,37
338,1338,5,5,15,77
339,1339,3,4,6,35
340,1340,4,5,8,50
341,1341,1,2,2,50
342,1342,2,2,12,53
343,1343,2,2,11,28
344,1344,3,4,10,52
345,1345,2,2,6,40
346,1346,3,5,10,61
347,1347,1,2,8,44
348,1348,3,2,11,37
349,1349,2,1,3,25
350,1350,3,3,6,43
351,1351,1,2,4,10
352,1352,2,3,3,39
353,1353,1,2,2,17
354,1354,2,2,6,57
355,1355,3,3,13,57
356,1356,5,5,10,63
357,1357,3,5,8,40
358,1358,5,6,9,59
359,1359,3,4,12,48
360,1360,0,2,6,26
361,1361,4,4,12,63
362,1362,0,1,2,17
363,1363,2,2,2,36
364,1364,4,4,7,56
365,1365,0,1,6,21
366,1366,2,2,12,24
367,1367,4,5,9,63
368,1368,5,4,13,67
369,1369,3,4,5,36
370,1370,2,2,6,43
371,1371,4,4,9,43
372,1372,4,5,6,57
373,1373,5,4,11,59
374,1374,3,3,13,46
375,1375,1,1,6,33
376,1376,4,4,8,55
377,1377,2,2,11,24
378,1378,2,4,3,47
379,1379,1,2,8,43
380,1380,2,2,7,32
381,1381,3,2,11,45
382,1382,1,3,7,27
383,1383,1,2,4,35
384,1384,2,3,6,34
385,1385,2,4,11,29
386,1386,3,2,9,58
387,1387,1,3,2,50
388,1388,4,5,9,59
389,1389,2,5,8,31
390,1390,3,2,3,50
391,1391,4,4,13,52
392,1392,3,5,13,31
393,1393,0,1,9,10
394,1394,4,4,11,68
395,1395,3,4,5,52
396,1396,4,4,7,53
397,1397,2,2,3,41
398,1398,4,5,14,58
399,1399,5,6,13,81
400,1400,2,4,2,51
401,1401,1,2,7,18
402,1402,0,1,9,13
403,1403,1,0,1,23
404,1404,2,2,8,26
405,1405,2,3,3,50
406,1406,3,4,6,44
407,1407,2,4,6,34
408,1408,2,3,11,44
409,1409,2,2,11,44
410,1410,3,2,5,65
411,1411,4,5,14,51
412,1412,3,3,12,24
413,1413,2,1,9,33
414,1414,3,2,3,55
415,1415,2,3,10,37
416,1416,4,3,6,66
417,1417,1,2,2,30
418,1418,2,4,8,23
419,1419,3,3,6,40
420,1420,3,4,3,37
421,1421,2,2,2,35
422,1422,2,3,2,17
423,1423,3,3,5,41
424,1424,4,5,7,70
425,1425,1,1,7,26
426,1426,2,2,10,35
427,1427,3,3,11,42
428,1428,2,3,11,47
429,1429,2,4,7,28
430,1430,4,5,12,57
431,1431,2,3,5,40
432,1432,2,2,8,44
433,1433,4,5,7,76
434,1434,3,3,9,54
435,1435,3,4,11,49
436,1436,1,0,2,10
437,1437,3,3,12,28
438,1438,3,3,3,55
439,1439,3,4,8,41
440,1440,2,3,7,21
441,1441,1,2,10,20
442,1442,3,4,12,36
443,1443,4,4,9,84
444,1444,3,3,6,34
445,1445,4,3,4,71
446,1446,1,0,11,37
447,1447,4,5,12,63
448,1448,3,4,11,61
449,1449,5,5,14,72
450,1450,3,3,7,65
451,1451,5,5,15,58
452,1452,3,3,5,57
453,1453,2,2,10,45
454,1454,2,1,9,47
455,1455,3,4,10,49
456,1456,4,3,12,70
457,1457,4,3,7,46
458,1458,3,4,10,54
459,1459,2,3,12,46
460,1460,2,3,9,45
461,1461,2,3,3,58
462,1462,5,4,15,76
463,1463,4,3,7,81
464,1464,4,5,13,60
465,1465,4,3,12,59
466,1466,3,3,12,48
467,1467,1,1,7,33
468,1468,3,3,7,44
469,1469,1,2,2,24
470,1470,2,5,4,30
471,1471,2,1,6,40
472,1472,4,4,10,52
473,1473,2,4,7,49
474,1474,2,2,2,35
475,1475,4,5,9,49
476,1476,3,5,12,59
477,1477,3,5,7,55
478,1478,4,6,12,43
479,1479,3,5,6,58
480,1480,2,3,8,43
481,1481,3,5,12,38
482,1482,4,4,14,55
483,1483,4,4,7,70
484,1484,4,3,8,61
485,1485,2,0,9,37
486,1486,1,2,5,50
487,1487,4,5,7,68
488,1488,5,4,12,70
489,1489,2,1,6,63
490,1490,1,1,2,36
491,1491,2,2,6,33
492,1492,1,2,3,10
493,1493,1,2,4,45
494,1494,3,5,6,71
495,1495,3,3,10,39
496,1496,2,1,12,35
497,1497,3,5,6,58
498,1498,4,5,12,64
499,1499,1,1,5,25
500,1500,2,2,12,38
501,1501,2,2,6,50
502,1502,1,2,8,45
503,1503,1,1,10,11
504,1504,3,3,12,49
505,1505,1,2,2,38
506,1506,1,1,9,35
507,1507,4,6,14,50
508,1508,1,2,6,26
509,1509,3,5,3,30
510,1510,4,5,9,45
511,1511,1,1,6,36
512,1512,2,1,11,46
513,1513,4,3,13,63
514,1514,3,2,11,41
515,1515,3,2,12,46
516,1516,3,4,11,43
517,1517,3,2,11,48
518,1518,2,2,5,42
519,1519,2,4,9,45
520,1520,5,5,9,62
521,1521,2,1,9,36
522,1522,5,4,14,90
523,1523,4,5,7,48
524,1524,2,1,10,44
525,1525,3,3,9,49
526,1526,3,3,8,27
527,1527,4,4,14,75
528,1528,2,4,5,47
529,1529,5,5,12,74
530,1530,1,2,8,16
531,1531,3,1,10,54
532,1532,4,4,12,50
533,1533,2,2,4,34
534,1534,4,4,8,60
535,1535,0,2,7,19
536,1536,2,1,4,51
537,1537,2,2,7,59
538,1538,3,3,6,62
539,1539,2,2,8,34
540,1540,3,4,11,49
541,1541,3,4,4,48
542,1542,3,4,3,57
543,1543,5,4,5,69
544,1544,3,2,6,37
545,1545,1,0,9,31
546,1546,4,4,7,66
547,1547,2,4,6,19
548,1548,3,2,6,52
549,1549,4,4,4,73
550,1550,3,5,8,44
551,1551,2,3,11,42
552,1552,3,2,5,53
553,1553,0,2,3,10
554,1554,3,2,13,55
555,1555,3,5,9,45
556,1556,4,5,13,49
557,1557,1,2,8,26
558,1558,5,4,15,66
559,1559,4,5,4,45
560,1560,1,1,5,26
561,1561,2,2,11,44
562,1562,4,5,14,74
563,1563,2,1,12,37
564,1564,1,1,9,30
565,1565,1,3,3,38
566,1566,2,3,5,24
567,1567,1,2,1,22
568,1568,2,2,6,44
569,1569,3,2,8,57
570,1570,2,2,12,30
571,1571,3,5,3,56
572,1572,2,2,3,43
573,1573,1,2,5,22
574,1574,2,4,3,51
575,1575,4,3,4,45
576,1576,3,4,6,40
577,1577,3,4,7,45
578,1578,4,4,6,54
579,1579,4,6,4,52
580,1580,1,0,3,30
581,1581,2,2,5,28
582,1582,3,2,9,54
583,1583,3,4,12,52
584,1584,4,5,14,48
585,1585,3,3,13,31
586,1586,5,6,5,83
587,1587,4,5,8,54
588,1588,2,4,5,43
589,1589,3,2,12,31
590,1590,4,5,8,59
591,1591,2,2,8,32
592,1592,2,4,3,45
593,1593,3,4,12,51
594,1594,2,2,10,35
595,1595,5,5,10,77
596,1596,4,4,5,51
597,1597,3,3,8,51
598,1598,1,1,5,18
599,1599,1,2,10,39
600,1600,3,4,9,54
601,1601,2,3,4,24
602,1602,3,3,9,39
603,1603,4,5,4,69
604,1604,2,4,10,51
605,1605,0,1,1,20
606,1606,4,3,9,53
607,1607,3,3,13,61
608,1608,2,2,5,43
609,1609,4,5,5,47
610,1610,3,4,4,62
611,1611,3,1,9,52
612,1612,3,4,4,54
613,1613,4,5,4,53
614,1614,4,5,4,67
615,1615,3,4,13,37
616,1616,5,4,12,84
617,1617,5,4,8,50
618,1618,4,5,14,63
619,1619,2,1,6,32
620,1620,4,4,7,44
621,1621,2,3,6,32
622,1622,4,4,9,57
623,1623,1,1,4,25
624,1624,3,3,4,33
625,1625,4,2,12,57
626,1626,2,2,7,50
627,1627,3,3,8,38
628,1628,3,6,3,50
629,1629,3,3,12,47
630,1630,4,3,11,59
631,1631,3,3,11,58
632,1632,4,5,6,75
633,1633,5,4,10,73
634,1634,3,4,7,28
635,1635,4,4,5,49
636,1636,3,5,11,51
637,1637,2,3,5,35
638,1638,3,4,6,73
639,1639,2,3,3,53
640,1640,4,4,7,54
641,1641,5,5,5,72
642,1642,1,2,11,48
643,1643,3,3,4,58
644,1644,3,4,13,46
645,1645,5,5,6,80
646,1646,4,5,5,62
647,1647,4,3,8,62
648,1648,3,5,12,50
649,1649,3,3,10,54
650,1650,2,3,11,41
651,1651,2,4,2,51
652,1652,2,3,10,50
653,1653,2,2,9,27
654,1654,3,5,3,33
655,1655,3,2,12,50
656,1656,4,5,5,67
657,1657,3,5,8,53
658,1658,2,3,7,56
659,1659,2,1,9,40
660,1660,2,1,6,43
661,1661,2,3,6,36
662,1662,3,3,3,44
663,1663,2,3,3,34
664,1664,2,3,3,24
665,1665,4,5,13,59
666,1666,5,5,5,59
667,1667,3,4,8,50
668,1668,5,5,15,61
669,1669,4,4,8,74
670,1670,3,4,9,44
671,1671,1,1,7,29
672,1672,2,3,2,38
673,1673,4,4,8,49
674,1674,4,5,12,63
675,1675,2,2,6,26
676,1676,4,4,8,67
677,1677,2,3,8,41
678,1678,3,4,12,55
679,1679,1,1,11,45
680,1680,2,4,7,30
681,1681,4,5,8,58
682,1682,2,3,10,41
683,1683,3,2,3,45
684,1684,2,2,2,40
685,1685,1,0,2,35
686,1686,4,4,5,81
687,1687,2,2,11,36
688,1688,2,2,7,38
689,1689,4,4,8,50
690,1690,4,5,11,45
691,1691,3,3,4,41
692,1692,3,3,13,58
693,1693,3,5,9,39
694,1694,3,4,12,58
695,1695,2,3,6,66
696,1696,1,1,9,37
697,1697,4,4,6,86
698,1698,2,3,7,51
699,1699,4,5,6,32
700,1700,2,4,6,68
701,1701,1,1,4,17
702,1702,1,3,8,32
703,1703,2,2,12,26
704,1704,1,0,10,17
705,1705,4,4,9,38
706,1706,1,2,4,31
707,1707,2,2,5,43
708,1708,3,4,7,34
709,1709,4,3,5,55
710,1710,1,1,11,33
711,1711,3,2,6,49
712,1712,2,2,4,40
713,1713,3,2,7,41
714,1714,1,2,4,32
715,1715,4,4,9,65
716,1716,3,4,11,50
717,1717,3,5,6,44
718,1718,3,3,4,42
719,1719,0,1,10,14
720,1720,4,4,12,40
721,1721,2,2,10,49
722,1722,2,3,5,45
723,1723,2,1,9,46
724,1724,3,3,10,51
725,1725,5,5,13,69
726,1726,3,4,10,40
727,1727,5,5,7,61
728,1728,2,2,11,44
729,1729,3,4,7,56
730,1730,2,2,10,50
731,1731,3,5,5,51
732,1732,4,4,9,62
733,1733,1,2,1,23
734,1734,2,3,6,48
735,1735,4,6,12,75
736,1736,3,3,5,64
737,1737,3,5,6,44
738,1738,4,4,13,48
739,1739,5,6,11,60
740,1740,4,4,6,70
741,1741,3,4,6,34
742,1742,2,4,7,59
743,1743,1,2,7,30
744,1744,2,3,10,38
745,1745,1,1,5,43
746,1746,5,5,11,64
747,1747,1,2,8,25
748,1748,4,4,8,74
749,1749,2,5,9,38
750,1750,3,3,3,42
751,1751,3,4,8,56
752,1752,3,3,5,51
753,1753,3,2,11,48
754,1754,4,5,8,57
755,1755,4,5,9,51
756,1756,3,2,4,53
757,1757,4,4,6,63
758,1758,2,2,4,35
759,1759,4,4,5,50
760,1760,2,3,5,26
761,1761,5,5,14,69
762,1762,1,1,8,38
763,1763,4,5,5,58
764,1764,3,5,8,31
765,1765,3,3,12,63
766,1766,5,5,8,72
767,1767,4,4,13,58
768,1768,3,5,6,26
769,1769,4,5,4,62
770,1770,4,5,12,40
771,1771,2,1,11,46
772,1772,3,2,3,28
773,1773,4,5,12,61
774,1774,5,4,6,92
775,1775,4,5,5,64
776,1776,2,3,11,48
777,1777,4,5,5,60
778,1778,4,3,7,52
779,1779,2,2,10,38
780,1780,5,4,5,68
781,1781,2,2,12,39
782,1782,4,6,6,49
783,1783,4,3,14,51
784,1784,1,0,9,30
785,1785,4,4,13,46
786,1786,2,2,4,44
787,1787,2,3,7,40
788,1788,4,5,5,61
789,1789,4,6,4,44
790,1790,4,5,13,73
791,1791,2,2,12,39
792,1792,4,5,4,46
793,1793,5,5,12,84
794,1794,1,2,9,23
795,1795,4,6,7,40
796,1796,3,3,13,54
797,1797,3,3,12,56
798,1798,3,3,8,61
799,1799,4,5,9,58
800,1800,2,1,8,20
801,1801,2,2,7,34
802,1802,1,1,1,13
803,1803,2,3,12,66
804,1804,4,3,13,42
805,1805,4,4,5,66
806,1806,2,4,12,31
807,1807,3,3,11,37
808,1808,4,3,12,68
809,1809,1,1,11,23
810,1810,2,3,8,49
811,1811,2,2,9,49
812,1812,1,2,8,34
813,1813,5,5,5,85
814,1814,1,2,8,24
815,1815,1,1,7,23
816,1816,0,2,4,10
817,1817,2,3,6,65
818,1818,4,5,6,57
819,1819,5,6,10,72
820,1820,2,2,10,59
821,1821,4,5,4,60
822,1822,1,2,11,32
823,1823,3,2,3,58
824,1824,3,3,3,61
825,1825,1,1,10,33
826,1826,4,5,5,58
827,1827,2,3,3,37
828,1828,1,2,2,31
829,1829,3,4,4,53
830,1830,2,3,2,15
831,1831,2,2,8,42
832,1832,4,4,4,45
833,1833,3,6,11,56
834,1834,3,3,11,45
835,1835,4,4,7,64
836,1836,5,5,11,52
837,1837,1,2,6,20
838,1838,4,5,7,59
839,1839,2,3,12,38
840,1840,2,3,11,41
841,1841,3,3,8,42
842,1842,2,2,8,27
843,1843,1,2,8,28
844,1844,3,4,12,62
845,1845,4,4,6,57
846,1846,3,3,12,57
847,1847,1,0,4,25
848,1848,1,1,10,23
849,1849,2,2,6,51
850,1850,4,6,14,51
851,1851,2,0,2,23
852,1852,5,5,14,68
853,1853,1,2,9,27
854,1854,3,3,3,51
855,1855,3,2,10,52
856,1856,4,4,5,61
857,1857,2,2,3,42
858,1858,0,2,6,19
859,1859,4,4,9,53
860,1860,4,5,7,43
861,1861,2,2,12,26
862,1862,3,2,10,41
863,1863,3,4,9,47
864,1864,3,3,7,51
865,1865,2,2,2,27
866,1866,4,4,5,72
867,1867,5,5,8,63
868,1868,3,5,13,45
869,1869,3,4,13,60
870,1870,1,2,9,17
871,1871,2,2,3,10
872,1872,1,3,7,23
873,1873,3,3,11,59
874,1874,2,2,5,49
875,1875,2,2,10,21
876,1876,2,2,10,45
877,1877,2,1,5,31
878,1878,3,4,3,34
879,1879,2,3,12,36
880,1880,2,4,6,55
881,1881,2,3,3,25
882,1882,1,1,7,32
883,1883,2,3,7,17
884,1884,3,2,10,43
885,1885,3,3,6,23
886,1886,3,5,4,40
887,1887,3,3,11,61
888,1888,3,2,8,55
889,1889,3,2,10,42
890,1890,1,3,4,38
891,1891,2,3,11,56
892,1892,1,3,3,24
893,1893,4,5,14,73
894,1894,2,2,2,36
895,1895,1,2,10,41
896,1896,3,4,9,41
897,1897,4,5,11,69
898,1898,4,3,9,60
899,1899,3,2,10,61
900,1900,2,3,7,51
901,1901,0,1,6,20
902,1902,1,2,3,24
903,1903,2,3,7,52
904,1904,4,5,13,63
905,1905,1,0,7,16
906,1906,3,3,10,49
907,1907,1,1,3,23
908,1908,3,2,7,48
909,1909,4,4,14,65
910,1910,3,3,8,55
911,1911,3,5,3,29
912,1912,4,4,4,59
913,1913,3,3,6,59
914,1914,5,4,6,63
915,1915,4,4,4,58
916,1916,3,2,8,48
917,1917,2,2,7,47
918,1918,2,3,2,66
919,1919,4,5,8,48
920,1920,1,1,6,28
921,1921,5,4,9,48
922,1922,4,4,4,82
923,1923,1,3,8,34
924,1924,2,2,6,42
925,1925,1,2,10,33
926,1926,4,5,6,51
927,1927,3,3,5,43
928,1928,1,3,8,41
929,1929,3,3,7,60
930,1930,3,2,6,48
931,1931,3,3,12,36
932,1932,4,4,10,53
933,1933,2,3,9,57
934,1934,4,3,9,61
935,1935,2,2,6,40
936,1936,3,5,6,50
937,1937,3,3,6,59
938,1938,2,1,9,30
939,1939,2,4,4,34
940,1940,1,2,4,21
941,1941,2,2,7,35
942,1942,4,6,8,79
943,1943,2,2,7,45
944,1944,2,3,6,44
945,1945,3,4,13,37
946,1946,2,3,3,45
947,1947,2,2,2,39
948,1948,3,4,5,50
949,1949,2,4,5,56
950,1950,5,6,6,55
951,1951,3,5,6,54
952,1952,1,2,4,33
953,1953,3,3,3,41
954,1954,2,3,10,37
955,1955,3,3,8,61
956,1956,1,3,8,22
957,1957,3,4,5,52
958,1958,2,2,3,14
959,1959,3,4,5,32
960,1960,2,3,5,43
961,1961,4,5,4,71
962,1962,3,3,13,55
963,1963,4,4,7,54
964,1964,4,4,7,74
965,1965,3,2,11,57
966,1966,3,3,6,44
967,1967,4,6,5,58
968,1968,2,2,5,50
969,1969,2,3,4,34
970,1970,3,4,10,51
971,1971,3,3,11,45
972,1972,1,1,4,40
973,1973,1,2,3,33
974,1974,3,3,5,38
975,1975,2,3,4,36
976,1976,3,4,9,43
977,1977,4,5,11,62
978,1978,4,4,10,47
979,1979,4,4,8,56
980,1980,1,3,5,39
981,1981,3,5,7,50
982,1982,4,5,11,68
983,1983,2,2,7,54
984,1984,2,2,10,45
985,1985,1,0,4,24
986,1986,2,1,9,48
987,1987,3,4,10,37
988,1988,3,4,5,54
989,1989,2,4,11,36
990,1990,2,2,11,45
991,1991,2,5,6,30
992,1992,2,2,12,49
993,1993,1,2,8,25
994,1994,1,1,10,38
995,1995,3,4,10,54
996,1996,2,1,4,40
997,1997,3,2,10,58
998,1998,3,4,4,56
999,1999,2,1,10,47
1000,2000,3,4,4,56
1001,2001,3,5,3,51
1002,2002,5,6,5,64
1003,2003,2,3,2,44
1004,2004,3,4,10,66
1005,2005,4,3,6,65
1006,2006,4,3,14,71
1007,2007,3,4,8,49
1008,2008,2,3,12,30
1009,2009,3,4,10,62
1010,2010,4,4,4,52
1011,2011,3,5,6,41
1012,2012,1,3,2,34
1013,2013,2,1,4,29
1014,2014,2,2,2,31
1015,2015,2,4,11,37
1016,2016,3,4,3,42
1017,2017,3,5,11,37
1018,2018,0,0,1,16
1019,2019,2,3,5,37
1020,2020,2,3,2,45
1021,2021,3,4,4,30
1022,2022,2,0,11,49
1023,2023,3,4,12,49
1024,2024,2,4,4,26
1025,2025,2,3,4,33
1026,2026,2,2,2,54
1027,2027,1,2,11,23
1028,2028,3,3,3,50
1029,2029,2,2,8,28
1030,2030,2,3,8,33
1031,2031,4,4,10,49
1032,2032,3,3,7,75
1033,2033,3,3,7,45
1034,2034,3,3,9,53
1035,2035,1,2,8,33
1036,2036,1,2,5,21
1037,2037,1,3,6,36
1038,2038,3,3,6,52
1039,2039,3,3,5,44
1040,2040,5,5,6,70
1041,2041,4,3,4,62
1042,2042,4,5,4,56
1043,2043,0,0,9,14
1044,2044,2,2,5,30
1045,2045,2,3,9,39
1046,2046,4,2,13,66
1047,2047,1,2,11,39
1048,2048,4,5,4,48
1049,2049,4,5,5,56
1050,2050,3,3,13,52
1051,2051,3,3,7,32
1052,2052,3,3,12,64
1053,2053,4,5,7,70
1054,2054,3,2,10,52
1055,2055,1,1,10,37
1056,2056,2,2,10,42
1057,2057,4,4,13,42
1058,2058,2,2,4,46
1059,2059,4,3,6,52
1060,2060,3,4,7,55
1061,2061,5,4,10,70
1062,2062,4,5,14,43
1063,2063,0,0,8,26
1064,2064,2,2,3,37
1065,2065,4,4,12,69
1066,2066,1,1,10,33
1067,2067,4,4,11,83
