skill_id,student_id,python,java,sql,machine_learning,data_science,communication,coding_score
102,1102,65,75,66,48,68,65,151
103,1103,83,93,89,81,69,80,435
104,1104,68,73,75,57,60,72,257
105,1105,77,73,72,68,62,73,359
106,1106,66,74,66,51,71,72,17
107,1107,98,93,93,89,100,95,402
108,1108,100,94,100,100,97,100,486
109,1109,69,71,70,51,68,73,27
110,1110,75,75,83,77,60,69,310
111,1111,100,100,95,88,100,93,417
112,1112,100,92,96,93,100,97,431
113,1113,69,67,64,58,65,59,204
114,1114,94,92,91,80,96,94,474
115,1115,78,80,85,65,77,65,438
116,1116,64,73,57,66,53,65,50
117,1117,100,100,100,100,92,94,460
118,1118,75,74,76,65,78,77,163
119,1119,64,74,64,53,49,65,221
120,1120,51,47,53,43,36,37,109
121,1121,63,63,60,47,48,65,77
122,1122,97,95,100,95,98,95,401
123,1123,74,75,70,61,64,66,70
124,1124,86,88,91,80,91,90,402
125,1125,91,86,93,92,95,96,397
126,1126,98,100,92,93,93,100,409
127,1127,69,63,77,64,54,74,119
128,1128,58,65,61,48,43,57,159
129,1129,80,77,88,70,84,76,270
130,1130,76,78,79,60,73,63,224
131,1131,62,68,59,55,54,59,127
132,1132,50,42,50,44,44,48,147
133,1133,79,70,76,70,81,77,226
134,1134,76,77,75,70,79,64,389
135,1135,73,78,70,57,72,69,316
136,1136,82,86,75,70,77,77,284
137,1137,58,64,63,41,52,52,229
138,1138,100,100,93,90,92,100,343
139,1139,60,67,57,57,52,54,62
140,1140,76,70,69,63,75,83,401
141,1141,70,74,66,57,68,65,243
142,1142,72,66,79,62,64,71,231
143,1143,56,63,62,41,58,59,205
144,1144,100,94,100,85,88,93,467
145,1145,97,90,90,94,100,100,497
146,1146,71,70,73,55,70,62,289
147,1147,84,75,91,82,79,95,313
148,1148,97,100,100,99,98,86,412
149,1149,83,85,85,77,80,88,288
150,1150,54,45,55,46,41,59,135
151,1151,48,47,55,40,49,50,75
152,1152,100,100,100,91,96,100,430
153,1153,62,62,69,48,47,78,162
154,1154,71,71,68,71,71,84,353
155,1155,54,56,49,44,50,47,188
156,1156,60,70,55,50,59,58,169
157,1157,58,60,62,50,55,46,160
158,1158,69,77,69,55,58,65,277
159,1159,77,78,71,70,62,76,297
160,1160,61,68,59,52,64,59,167
161,1161,90,88,84,92,90,82,319
162,1162,78,87,70,62,74,58,292
163,1163,65,59,68,62,65,82,226
164,1164,94,97,90,80,79,86,499
165,1165,77,74,75,70,74,79,308
166,1166,82,84,76,71,74,88,297
167,1167,98,100,100,88,84,98,460
168,1168,66,73,67,62,63,63,269
169,1169,55,56,55,46,49,55,70
170,1170,84,87,77,71,88,69,445
171,1171,98,99,100,80,90,100,356
172,1172,86,76,86,81,74,92,368
173,1173,59,68,53,53,53,70,188
174,1174,80,76,72,74,72,76,259
175,1175,79,87,78,62,66,77,283
176,1176,58,68,65,48,43,63,195
177,1177,96,94,99,92,96,96,478
178,1178,90,94,86,74,89,100,411
179,1179,88,90,90,71,84,81,286
180,1180,77,82,80,75,77,75,211
181,1181,96,86,92,97,89,88,313
182,1182,89,83,89,84,77,81,375
183,1183,71,67,76,55,74,79,305
184,1184,72,72,71,67,59,67,277
185,1185,52,57,58,44,55,44,90
186,1186,94,86,100,94,80,99,467
187,1187,54,54,48,52,50,50,90
188,1188,100,100,100,82,92,100,443
189,1189,98,100,100,96,100,96,461
190,1190,100,99,100,92,100,96,379
191,1191,87,89,92,84,74,86,410
192,1192,62,71,55,53,49,68,96
193,1193,66,69,68,59,54,72,96
194,1194,80,70,80,78,80,78,465
195,1195,63,61,66,54,59,57,43
196,1196,71,62,74,58,66,59,251
197,1197,59,49,58,52,46,51,177
198,1198,72,69,70,60,68,72,225
199,1199,81,90,74,70,77,99,201
200,1200,97,100,92,97,93,92,472
201,1201,63,60,68,51,64,61,229
202,1202,81,84,89,64,81,77,395
203,1203,94,100,99,85,88,96,400
204,1204,70,71,75,62,66,68,104
205,1205,50,47,52,37,52,39,95
206,1206,87,85,79,80,84,80,511
207,1207,83,76,79,82,85,86,176
208,1208,61,54,58,49,65,68,14
209,1209,59,65,52,55,61,61,82
210,1210,100,100,98,100,97,100,390
211,1211,91,98,98,81,78,75,329
212,1212,91,100,94,76,77,100,369
213,1213,67,74,63,60,72,76,14
214,1214,82,92,79,80,75,71,400
215,1215,47,44,53,44,48,64,73
216,1216,66,60,73,66,60,68,224
217,1217,100,99,99,100,87,95,473
218,1218,86,93,83,68,89,96,441
219,1219,54,57,58,41,50,52,70
220,1220,98,88,97,91,90,100,382
221,1221,51,50,45,49,50,51,105
222,1222,60,57,58,55,53,67,62
223,1223,75,69,69,59,61,51,309
224,1224,41,32,35,26,36,35,106
225,1225,71,69,66,56,68,75,297
226,1226,72,78,68,70,57,78,165
227,1227,73,69,79,66,67,69,227
228,1228,46,43,48,38,46,35,112
229,1229,73,70,75,56,63,79,161
230,1230,88,84,86,70,91,89,343
231,1231,74,64,73,59,69,79,245
232,1232,70,72,67,55,63,61,151
233,1233,83,76,91,81,83,87,265
234,1234,51,52,50,45,36,60,218
235,1235,62,54,59,49,55,65,184
236,1236,100,100,96,93,100,89,381
237,1237,63,63,65,64,48,68,111
238,1238,95,100,91,89,97,90,305
239,1239,95,96,99,83,85,87,506
240,1240,61,60,61,47,63,74,128
241,1241,88,90,88,74,76,92,268
242,1242,75,70,78,68,63,64,403
243,1243,90,87,93,79,88,94,424
244,1244,50,56,57,40,40,53,116
245,1245,48,42,49,43,53,47,32
246,1246,77,69,78,59,73,85,167
247,1247,89,96,89,74,92,97,477
248,1248,88,80,83,73,85,83,296
249,1249,63,54,58,62,61,62,186
250,1250,86,86,85,79,74,91,260
251,1251,65,61,69,61,55,64,41
252,1252,79,85,81,78,78,81,347
253,1253,81,81,76,79,70,87,372
254,1254,59,63,64,59,60,69,122
255,1255,96,100,98,97,94,100,404
256,1256,84,78,82,70,75,71,314
257,1257,95,89,88,95,93,95,459
258,1258,89,91,91,71,86,91,394
259,1259,80,85,79,73,83,76,313
260,1260,97,94,89,99,87,95,465
261,1261,60,61,52,58,53,60,104
262,1262,88,82,95,73,79,78,366
263,1263,50,45,46,51,46,54,95
264,1264,92,94,86,78,84,88,416
265,1265,74,73,72,76,74,70,222
266,1266,86,93,80,80,75,95,413
267,1267,86,76,92,81,77,82,364
268,1268,70,78,75,72,60,65,102
269,1269,66,65,72,65,64,63,71
270,1270,65,63,68,61,57,58,98
271,1271,72,72,64,54,71,68,117
272,1272,82,82,89,70,80,90,436
273,1273,76,72,77,70,71,82,342
274,1274,100,90,99,92,92,93,338
275,1275,55,54,58,53,56,56,45
276,1276,59,64,62,42,50,50,122
277,1277,63,63,70,47,63,58,121
278,1278,74,65,75,76,71,81,374
279,1279,100,91,96,82,100,100,451
280,1280,64,70,59,61,67,68,289
281,1281,58,64,66,45,59,58,159
282,1282,69,62,67,65,57,48,165
283,1283,78,84,82,64,76,77,221
284,1284,97,94,100,87,97,93,407
285,1285,75,83,67,70,73,75,379
286,1286,50,54,45,42,52,49,177
287,1287,70,69,74,67,67,74,160
288,1288,71,78,71,53,69,81,310
289,1289,52,55,50,41,52,65,114
290,1290,67,69,70,67,57,63,149
291,1291,79,71,71,81,74,79,281
292,1292,78,75,82,71,65,83,194
293,1293,64,62,66,47,53,63,253
294,1294,78,85,81,74,71,67,210
295,1295,84,74,83,67,76,89,447
296,1296,60,66,62,62,45,63,183
297,1297,66,58,72,65,68,75,63
298,1298,78,75,80,60,75,76,230
299,1299,71,61,78,58,63,69,123
300,1300,98,95,100,83,83,97,324
301,1301,70,61,69,69,71,67,186
302,1302,69,65,63,51,71,63,293
303,1303,48,43,40,30,52,51,81
304,1304,76,71,78,70,75,67,243
305,1305,92,99,87,93,94,96,373
306,1306,37,41,30,31,24,41,43
307,1307,100,100,93,83,94,100,389
308,1308,73,74,65,57,60,74,348
309,1309,92,95,89,90,97,100,378
310,1310,57,54,58,40,52,65,49
311,1311,54,57,58,43,47,47,107
312,1312,91,85,83,78,91,100,414
313,1313,66,58,73,62,57,70,232
314,1314,100,100,100,88,93,100,416
315,1315,80,81,82,82,67,82,278
316,1316,79,89,72,70,70,69,291
317,1317,89,93,96,82,90,97,400
318,1318,74,77,81,75,59,79,344
319,1319,100,100,100,94,100,95,500
320,1320,75,80,71,58,65,79,245
321,1321,99,100,100,85,99,100,426
322,1322,68,68,74,60,69,64,139
323,1323,44,50,47,29,30,45,134
324,1324,85,90,84,86,85,81,341
325,1325,88,97,86,89,86,89,349
326,1326,82,77,75,82,77,81,203
327,1327,99,93,100,92,91,95,466
328,1328,57,62,62,54,42,48,114
329,1329,52,58,45,35,49,37,107
330,1330,61,54,63,48,56,52,165
331,1331,96,94,97,85,95,79,358
332,1332,89,94,87,87,92,78,446
333,1333,52,49,53,48,40,45,28
334,1334,76,70,69,73,69,77,271
335,1335,81,72,80,65,86,86,365
336,1336,51,46,47,44,40,46,186
337,1337,66,67,70,59,53,54,64
338,1338,100,94,100,98,98,100,482
339,1339,87,94,82,77,87,76,434
340,1340,95,100,95,79,82,99,423
341,1341,75,81,74,68,74,89,187
342,1342,68,78,68,51,55,53,183
343,1343,58,64,65,50,55,57,99
344,1344,80,73,85,78,70,100,354
345,1345,43,42,49,26,40,36,155
346,1346,90,80,89,86,94,88,447
347,1347,54,64,48,53,54,51,142
348,1348,80,85,85,77,76,80,264
349,1349,71,67,77,70,63,72,97
350,1350,78,68,86,68,65,68,253
351,1351,64,57,62,57,59,71,101
352,1352,56,57,50,49,50,69,144
353,1353,65,71,61,55,68,62,152
354,1354,61,63,53,45,54,64,123
355,1355,79,89,76,77,64,84,248
356,1356,96,94,100,81,83,96,470
357,1357,99,91,91,98,85,100,430
358,1358,100,100,100,85,94,100,417
359,1359,94,95,86,93,89,100,435
360,1360,52,54,46,49,38,46,92
361,1361,90,99,98,78,93,79,392
362,1362,55,54,58,43,55,46,91
363,1363,85,88,89,83,81,88,284
364,1364,91,88,95,77,76,73,457
365,1365,73,64,67,64,62,77,78
366,1366,65,56,71,55,55,60,175
367,1367,85,90,90,73,80,85,361
368,1368,95,89,91,81,98,89,396
369,1369,100,100,95,100,100,96,458
370,1370,57,50,55,45,54,56,143
371,1371,89,91,82,89,86,96,373
372,1372,98,99,92,99,97,97,454
373,1373,93,97,88,82,80,80,375
374,1374,60,66,63,55,61,54,365
375,1375,60,63,63,43,64,59,123
376,1376,81,74,86,70,66,87,339
377,1377,89,89,91,71,81,99,282
378,1378,76,81,68,62,75,56,308
379,1379,50,46,57,42,46,64,157
380,1380,68,69,73,58,67,70,245
381,1381,64,58,71,50,62,75,241
382,1382,57,62,51,51,62,58,137
383,1383,69,60,71,69,73,67,44
384,1384,84,92,78,75,75,85,232
385,1385,83,85,86,85,68,84,368
386,1386,53,55,49,46,45,66,142
387,1387,62,72,58,59,66,62,155
388,1388,90,92,93,79,81,100,515
389,1389,82,84,79,64,77,74,347
390,1390,75,75,73,69,72,62,316
391,1391,74,70,81,70,75,87,364
392,1392,99,100,93,100,91,99,362
393,1393,53,52,49,47,53,56,18
394,1394,86,77,80,85,89,78,316
395,1395,92,90,94,90,82,89,416
396,1396,87,88,80,89,86,88,310
397,1397,54,47,53,39,58,48,87
398,1398,85,93,78,73,90,75,323
399,1399,95,100,97,83,97,97,449
400,1400,78,70,80,65,83,67,265
401,1401,62,68,64,63,49,79,75
402,1402,38,33,39,26,34,36,58
403,1403,62,61,57,56,64,57,20
404,1404,73,73,66,55,67,60,109
405,1405,91,96,92,79,93,88,256
406,1406,82,76,83,79,84,83,409
407,1407,72,82,80,71,69,68,223
408,1408,78,78,76,70,67,72,250
409,1409,53,46,45,45,40,44,116
410,1410,57,65,54,58,43,60,234
411,1411,97,96,89,80,100,100,402
412,1412,70,71,77,64,63,67,271
413,1413,72,74,66,61,57,72,111
414,1414,76,67,73,69,79,66,332
415,1415,62,66,64,62,65,62,215
416,1416,83,78,83,79,83,84,296
417,1417,43,47,40,39,48,43,89
418,1418,71,72,70,62,69,71,242
419,1419,64,59,70,62,60,51,199
420,1420,85,95,78,76,83,75,297
421,1421,64,58,56,61,61,72,202
422,1422,74,80,73,76,68,71,191
423,1423,80,73,74,79,67,74,369
424,1424,86,77,88,73,88,79,389
425,1425,50,42,46,39,36,58,166
426,1426,55,62,60,53,44,48,56
427,1427,55,54,52,51,40,50,188
428,1428,70,64,78,65,71,66,183
429,1429,87,77,93,83,88,92,291
430,1430,100,100,100,99,100,99,404
431,1431,89,92,83,76,81,92,280
432,1432,77,84,75,69,75,86,168
433,1433,97,90,99,90,91,100,465
434,1434,81,76,78,68,83,83,320
435,1435,87,94,93,73,72,91,379
436,1436,57,67,57,44,43,63,74
437,1437,72,71,67,71,58,79,197
438,1438,83,84,86,65,86,77,217
439,1439,76,72,69,69,78,78,180
440,1440,82,72,77,65,77,79,353
441,1441,73,69,77,69,76,59,249
442,1442,87,91,95,80,81,100,428
443,1443,80,89,72,79,80,83,352
444,1444,65,61,65,57,67,51,125
445,1445,82,74,85,81,80,83,231
446,1446,66,70,67,67,51,74,10
447,1447,99,96,100,91,86,100,480
448,1448,90,90,97,85,81,91,278
449,1449,93,87,93,90,95,89,448
450,1450,65,67,67,49,60,54,232
451,1451,91,93,91,78,77,92,450
452,1452,83,76,82,68,77,82,297
453,1453,58,64,60,56,48,57,89
454,1454,65,70,57,63,57,59,93
455,1455,89,93,84,89,76,88,315
456,1456,75,67,76,73,76,88,254
457,1457,62,64,59,51,51,57,221
458,1458,81,85,79,72,71,72,371
459,1459,76,85,84,69,69,68,200
460,1460,61,54,53,58,58,64,202
461,1461,64,72,69,60,49,72,238
462,1462,100,97,96,85,97,97,458
463,1463,95,86,89,88,90,89,403
464,1464,79,83,83,70,81,84,468
465,1465,79,87,84,64,83,92,273
466,1466,69,73,69,53,69,71,253
467,1467,73,81,69,60,71,74,184
468,1468,81,89,86,74,67,87,304
469,1469,79,76,75,74,83,77,80
470,1470,88,83,80,81,84,95,368
471,1471,72,76,72,65,74,78,94
472,1472,100,98,100,84,95,100,502
473,1473,82,72,83,80,80,84,329
474,1474,62,53,55,58,55,54,82
475,1475,91,100,87,92,81,100,360
476,1476,90,88,85,85,86,100,387
477,1477,79,75,85,67,73,69,374
478,1478,96,91,100,90,87,100,437
479,1479,79,80,76,63,84,65,405
480,1480,64,55,66,55,63,73,233
481,1481,93,87,99,76,95,98,386
482,1482,90,95,82,83,93,84,358
483,1483,98,100,95,90,90,89,347
484,1484,74,84,68,57,59,84,353
485,1485,46,41,42,45,48,35,55
486,1486,72,74,78,70,62,70,137
487,1487,100,93,95,87,87,96,406
488,1488,100,93,92,100,89,100,437
489,1489,63,58,58,45,68,69,63
490,1490,55,47,51,37,60,47,0
491,1491,78,73,78,69,76,71,254
492,1492,56,63,53,56,61,56,88
493,1493,55,49,57,57,57,62,62
494,1494,100,100,96,100,91,99,469
495,1495,76,75,80,75,74,67,316
496,1496,60,58,54,48,50,69,166
497,1497,87,94,83,76,84,86,375
498,1498,81,80,87,75,81,87,322
499,1499,47,48,46,31,44,37,28
500,1500,55,63,51,49,44,37,101
501,1501,67,75,67,58,64,74,124
502,1502,64,60,58,62,49,70,39
503,1503,49,45,45,36,36,56,0
504,1504,85,90,89,84,79,87,334
505,1505,71,81,63,71,69,73,150
506,1506,49,52,45,49,42,35,72
507,1507,95,94,100,78,93,73,428
508,1508,65,74,61,54,56,68,126
509,1509,82,92,75,66,85,83,377
510,1510,81,91,84,82,84,83,468
511,1511,52,46,52,52,50,47,81
512,1512,62,62,63,50,62,56,194
513,1513,75,74,69,65,76,75,334
514,1514,65,71,63,53,65,71,57
515,1515,67,70,66,65,72,60,235
516,1516,84,94,86,70,82,88,354
517,1517,80,79,78,80,76,68,333
518,1518,50,59,44,39,48,46,204
519,1519,75,85,83,73,64,76,245
520,1520,98,100,100,82,84,98,433
521,1521,36,30,44,24,25,40,102
522,1522,93,97,93,78,87,100,423
523,1523,92,98,97,88,80,89,373
524,1524,57,47,60,59,58,47,120
525,1525,80,77,79,77,81,85,302
526,1526,59,56,61,45,63,54,230
527,1527,99,98,94,86,88,100,331
528,1528,74,74,74,56,61,80,229
529,1529,100,99,96,92,100,100,385
530,1530,80,83,74,73,72,70,165
531,1531,68,75,70,56,57,67,127
532,1532,78,81,72,60,64,78,330
533,1533,47,43,42,40,32,43,159
534,1534,79,72,80,65,65,79,332
535,1535,50,55,52,42,40,49,17
536,1536,63,70,65,63,59,47,130
537,1537,79,87,82,61,80,78,209
538,1538,86,79,80,78,72,69,278
539,1539,61,53,58,60,55,67,116
540,1540,86,84,91,68,91,87,278
541,1541,68,76,74,57,56,63,385
542,1542,86,95,87,82,87,83,353
543,1543,92,84,91,77,78,99,506
544,1544,77,71,70,63,68,83,179
545,1545,66,70,72,63,55,78,53
546,1546,79,73,74,74,64,91,335
547,1547,83,78,80,74,87,81,273
548,1548,51,54,44,51,41,53,163
549,1549,77,83,81,74,73,79,385
550,1550,81,86,88,76,74,67,394
551,1551,76,86,77,77,78,79,203
552,1552,61,63,59,62,60,65,280
553,1553,79,85,76,61,70,84,82
554,1554,73,76,77,72,58,88,176
555,1555,93,89,98,84,89,89,455
556,1556,100,100,100,88,100,94,451
557,1557,53,50,50,47,46,55,218
558,1558,100,95,100,83,94,100,483
559,1559,90,81,96,90,84,95,435
560,1560,64,70,68,51,51,65,82
561,1561,57,63,60,45,45,45,195
562,1562,82,72,76,78,74,81,430
563,1563,67,63,75,59,62,76,143
564,1564,66,71,73,59,70,57,87
565,1565,68,59,75,54,71,62,221
566,1566,78,78,80,79,76,63,324
567,1567,67,72,63,60,63,83,220
568,1568,77,76,82,78,70,88,192
569,1569,70,78,77,59,60,68,211
570,1570,77,72,73,75,69,87,188
571,1571,96,96,92,96,97,100,446
572,1572,55,47,58,44,50,50,27
573,1573,77,76,84,76,77,61,77
574,1574,87,88,88,74,84,90,265
575,1575,72,67,79,69,69,66,326
576,1576,91,91,90,85,93,85,359
577,1577,96,95,98,81,89,94,454
578,1578,100,100,100,82,100,100,472
579,1579,93,100,93,83,84,94,418
580,1580,65,67,62,59,69,63,66
581,1581,66,65,61,59,71,45,133
582,1582,84,81,84,77,70,84,266
583,1583,89,84,85,81,86,82,412
584,1584,98,99,100,95,95,100,383
585,1585,79,75,72,80,80,74,185
586,1586,90,91,82,72,86,77,466
587,1587,97,99,100,93,88,95,425
588,1588,58,56,54,55,63,38,278
589,1589,66,61,73,55,57,65,278
590,1590,98,100,97,87,94,100,496
591,1591,60,52,60,47,45,61,191
592,1592,68,74,67,61,59,73,224
593,1593,83,77,85,72,75,72,357
594,1594,59,53,51,54,64,61,246
595,1595,95,94,91,81,94,76,447
596,1596,90,95,91,80,77,88,439
597,1597,97,100,100,79,93,95,335
598,1598,54,53,57,46,47,44,50
599,1599,77,84,70,68,79,71,81
600,1600,90,81,87,85,86,85,229
601,1601,75,73,80,71,62,73,183
602,1602,82,83,88,67,67,90,348
603,1603,97,92,99,79,86,100,321
604,1604,72,76,77,69,72,56,268
605,1605,63,71,65,57,53,49,58
606,1606,82,72,74,70,84,65,312
607,1607,91,93,99,85,77,90,267
608,1608,73,68,73,63,67,57,258
609,1609,92,99,98,74,93,80,354
610,1610,85,77,90,86,71,78,273
611,1611,65,75,61,65,54,50,161
612,1612,94,91,96,86,90,94,358
613,1613,91,98,86,77,87,90,319
614,1614,85,94,78,83,87,100,436
615,1615,76,68,78,65,80,77,204
616,1616,94,88,100,86,97,100,451
617,1617,86,80,92,68,78,83,337
618,1618,100,100,98,87,97,96,410
619,1619,67,63,71,60,62,71,89
620,1620,82,81,88,70,77,77,289
621,1621,84,86,86,78,87,75,313
622,1622,80,75,83,67,79,88,303
623,1623,72,73,66,68,57,67,89
624,1624,76,86,81,68,76,83,320
625,1625,80,90,82,71,71,93,288
626,1626,74,65,71,59,76,73,206
627,1627,80,81,86,64,76,87,177
628,1628,85,88,90,77,86,84,430
629,1629,71,80,79,73,68,74,207
630,1630,73,63,78,55,64,60,325
631,1631,66,58,66,59,56,67,281
632,1632,100,95,100,96,90,99,399
633,1633,94,88,100,89,88,92,415
634,1634,80,75,79,77,82,87,343
635,1635,73,83,75,71,77,75,330
636,1636,97,93,92,89,98,100,405
637,1637,69,75,71,71,74,69,188
638,1638,93,88,96,92,96,100,333
639,1639,87,83,93,84,75,86,216
640,1640,96,97,90,91,81,91,372
641,1641,100,100,98,94,86,96,518
642,1642,72,64,79,74,60,60,61
643,1643,67,74,71,57,62,72,306
644,1644,87,92,80,78,72,86,384
645,1645,85,84,85,73,77,81,448
646,1646,89,96,85,86,85,89,430
647,1647,75,75,78,65,65,71,282
648,1648,80,73,81,71,78,83,457
649,1649,74,74,72,69,68,85,234
650,1650,52,43,53,51,40,58,170
651,1651,81,75,82,64,82,86,326
652,1652,74,80,75,68,74,64,204
653,1653,83,75,85,71,76,69,256
654,1654,95,97,91,97,93,100,369
655,1655,73,76,78,70,58,57,179
656,1656,100,100,99,88,100,96,403
657,1657,100,100,96,83,87,87,395
658,1658,87,84,80,78,87,88,251
659,1659,70,72,78,58,65,59,147
660,1660,67,63,70,65,67,63,94
661,1661,71,77,78,61,66,71,229
662,1662,73,75,68,74,70,56,231
663,1663,60,59,67,52,65,59,168
664,1664,76,79,79,74,69,74,225
665,1665,85,83,92,84,72,95,414
666,1666,100,96,98,85,100,92,438
667,1667,82,89,74,79,84,72,347
668,1668,100,100,95,89,94,100,518
669,1669,86,85,90,74,78,87,423
670,1670,91,81,89,73,94,78,229
671,1671,59,58,63,54,53,50,190
672,1672,73,77,74,69,61,72,149
673,1673,100,100,100,98,88,100,383
674,1674,82,90,87,83,84,75,485
675,1675,61,52,59,52,57,67,86
676,1676,79,87,76,72,67,75,420
677,1677,88,95,83,70,79,88,274
678,1678,86,76,89,73,75,74,366
679,1679,56,46,55,44,55,59,50
680,1680,74,75,68,72,79,85,238
681,1681,100,100,100,100,100,100,440
682,1682,80,75,78,76,67,72,325
683,1683,78,85,70,79,72,81,369
684,1684,35,43,30,33,29,35,59
685,1685,42,40,46,33,45,37,0
686,1686,76,84,68,69,75,67,397
687,1687,64,71,71,65,60,61,184
688,1688,71,78,69,69,66,61,192
689,1689,71,78,65,60,67,70,396
690,1690,96,100,95,79,83,93,470
691,1691,87,84,81,79,89,84,353
692,1692,58,51,59,46,57,55,193
693,1693,91,90,90,82,82,97,380
694,1694,84,86,81,72,71,82,286
695,1695,62,59,57,46,56,49,195
696,1696,51,56,56,41,54,45,132
697,1697,89,98,82,79,89,100,351
698,1698,90,92,90,91,84,98,290
699,1699,100,100,95,100,100,100,437
700,1700,84,79,91,80,74,87,204
701,1701,46,50,54,47,32,53,64
702,1702,65,57,65,63,64,64,223
703,1703,74,64,75,68,67,70,236
704,1704,39,30,39,32,24,37,67
705,1705,80,70,85,72,85,82,220
706,1706,70,73,68,70,68,63,111
707,1707,62,56,60,51,52,54,207
708,1708,82,83,88,80,74,69,377
709,1709,90,91,93,89,86,92,308
710,1710,62,69,64,57,48,51,84
711,1711,62,58,55,50,66,60,211
712,1712,52,42,60,53,50,38,131
713,1713,74,77,79,61,76,69,244
714,1714,65,75,73,59,60,75,91
715,1715,88,94,89,87,73,86,361
716,1716,84,75,91,75,85,81,479
717,1717,70,74,70,69,73,70,450
718,1718,61,58,58,49,59,66,237
719,1719,58,53,65,57,47,64,66
720,1720,99,96,95,86,91,100,349
721,1721,70,65,78,68,69,72,193
722,1722,82,83,75,68,76,81,256
723,1723,46,44,47,34,39,39,106
724,1724,60,68,64,60,58,50,226
725,1725,95,91,94,82,88,89,396
726,1726,84,80,85,73,71,87,288
727,1727,91,100,94,82,95,94,488
728,1728,61,59,54,59,65,58,130
729,1729,75,72,69,69,67,81,274
730,1730,57,67,52,44,53,71,231
731,1731,100,97,100,90,86,96,451
732,1732,87,84,91,76,84,83,325
733,1733,61,57,63,45,59,35,70
