academic_id,student_id,semester,cgpa,sgpa,class_rank,backlogs,internal_avg,external_avg
77,1077,2,6.87,6.47,120,2,20.6,48.1
78,1078,7,8.85,9.22,32,1,26.5,61.9
79,1079,4,6.67,6.94,13,2,20.0,46.7
80,1080,3,7.29,7.02,18,2,21.9,51.0
81,1081,8,8.81,8.98,12,0,26.4,61.7
82,1082,2,9.41,9.39,94,0,28.2,65.9
83,1083,6,7.71,7.73,112,1,23.1,54.0
84,1084,1,5.69,5.39,100,3,17.1,39.8
85,1085,1,7.22,7.49,29,2,21.7,50.5
86,1086,2,9.67,9.89,40,0,29.0,67.7
87,1087,6,6.22,5.87,59,3,18.7,43.5
88,1088,3,7.55,7.81,71,1,22.6,52.9
89,1089,1,9.25,9.2,53,0,27.8,64.8
90,1090,5,7.21,7.6,24,1,21.6,50.5
91,1091,8,7.37,7.27,46,1,22.1,51.6
92,1092,6,8.41,8.37,47,0,25.2,58.9
93,1093,1,7.7,7.39,118,2,23.1,53.9
94,1094,8,9.12,9.19,106,0,27.4,63.8
95,1095,1,7.35,7.59,80,2,22.0,51.4
96,1096,8,6.46,6.19,3,3,19.4,45.2
97,1097,7,6.25,6.14,5,2,18.8,43.8
98,1098,8,5.61,5.85,87,3,16.8,39.3
99,1099,6,8.06,8.01,25,1,24.2,56.4
100,1100,6,7.92,7.81,115,1,23.8,55.4
101,1101,4,8.33,8.49,73,0,25.0,58.3
102,1102,4,6.6,6.55,36,3,19.8,46.2
103,1103,5,9.57,9.51,32,0,28.7,67.0
104,1104,2,7.04,6.97,71,2,21.1,49.3
105,1105,3,8.41,8.13,72,1,25.2,58.9
106,1106,3,5.55,5.94,96,4,16.6,38.9
107,1107,8,8.83,9.1,55,0,26.5,61.8
108,1108,1,9.78,9.86,66,0,29.3,68.5
109,1109,6,5.77,5.38,78,4,17.3,40.4
110,1110,5,7.96,8.32,15,1,23.9,55.7
111,1111,2,9.66,9.42,81,0,29.0,67.6
112,1112,2,9.07,8.98,118,0,27.2,63.5
113,1113,4,7.08,7.35,89,2,21.2,49.6
114,1114,3,9.1,9.17,63,0,27.3,63.7
115,1115,8,8.94,8.57,50,0,26.8,62.6
116,1116,2,5.53,5.59,47,3,16.6,38.7
117,1117,4,9.25,9.6,1,0,27.8,64.8
118,1118,7,7.42,7.47,93,1,22.3,51.9
119,1119,6,6.87,6.61,93,3,20.6,48.1
120,1120,7,6.31,6.34,33,3,18.9,44.2
121,1121,5,5.61,5.46,105,4,16.8,39.3
122,1122,1,8.84,8.69,80,0,26.5,61.9
123,1123,2,5.76,5.76,85,3,17.3,40.3
124,1124,3,8.97,9.3,62,0,26.9,62.8
125,1125,3,9.04,8.87,117,0,27.1,63.3
126,1126,7,9.42,9.14,90,0,28.3,65.9
127,1127,2,5.71,6.03,35,3,17.1,40.0
128,1128,7,6.64,6.3,50,2,19.9,46.5
129,1129,1,8.77,9.08,61,1,26.3,61.4
130,1130,6,6.97,7.01,67,2,20.9,48.8
131,1131,7,6.45,6.16,20,3,19.4,45.1
132,1132,4,5.94,5.83,80,3,17.8,41.6
133,1133,8,6.96,6.86,49,2,20.9,48.7
134,1134,7,8.56,8.4,64,0,25.7,59.9
135,1135,2,8.05,8.02,12,1,24.2,56.4
136,1136,1,7.96,7.57,24,1,23.9,55.7
137,1137,6,6.63,6.48,26,2,19.9,46.4
138,1138,7,8.35,8.53,110,0,25.0,58.4
139,1139,1,6.09,6.39,54,3,18.3,42.6
140,1140,4,9.08,9.24,51,0,27.2,63.6
141,1141,8,7.13,7.24,114,2,21.4,49.9
142,1142,6,7.58,7.87,58,2,22.7,53.1
143,1143,3,6.92,6.81,47,2,20.8,48.4
144,1144,5,9.55,9.42,52,0,28.7,66.9
145,1145,1,9.41,9.59,106,0,28.2,65.9
146,1146,3,8.08,8.47,27,0,24.2,56.6
147,1147,8,8.45,8.62,18,0,25.3,59.1
148,1148,8,9.39,9.59,72,0,28.2,65.7
149,1149,7,7.97,8.32,53,1,23.9,55.8
150,1150,5,6.13,6.17,43,2,18.4,42.9
151,1151,2,6.22,6.1,71,3,18.7,43.5
152,1152,2,9.49,9.81,72,0,28.5,66.4
153,1153,7,6.84,6.85,84,2,20.5,47.9
154,1154,5,8.25,8.24,50,1,24.8,57.8
155,1155,8,6.67,6.98,85,2,20.0,46.7
156,1156,7,6.68,6.57,107,3,20.0,46.8
157,1157,2,6.21,5.95,119,3,18.6,43.5
158,1158,5,7.66,7.94,92,2,23.0,53.6
159,1159,8,8.1,8.11,15,1,24.3,56.7
160,1160,7,6.76,7.11,66,3,20.3,47.3
161,1161,4,8.37,8.68,99,0,25.1,58.6
162,1162,2,7.91,8.07,6,2,23.7,55.4
163,1163,1,7.31,6.93,117,2,21.9,51.2
164,1164,2,9.56,9.94,110,0,28.7,66.9
165,1165,7,8.19,8.5,84,1,24.6,57.3
166,1166,8,7.52,7.82,7,2,22.6,52.6
167,1167,1,9.55,9.92,72,0,28.7,66.9
168,1168,2,7.91,8.0,70,1,23.7,55.4
169,1169,4,5.9,6.08,118,3,17.7,41.3
170,1170,8,9.1,9.27,98,0,27.3,63.7
171,1171,4,8.96,8.57,118,0,26.9,62.7
172,1172,2,8.47,8.84,89,0,25.4,59.3
173,1173,5,6.62,6.99,51,3,19.9,46.3
174,1174,5,7.41,7.59,24,1,22.2,51.9
175,1175,3,7.57,7.84,37,1,22.7,53.0
176,1176,7,6.46,6.22,16,2,19.4,45.2
177,1177,1,9.47,9.8,31,0,28.4,66.3
178,1178,8,9.22,8.99,88,0,27.7,64.5
179,1179,6,8.29,8.51,75,1,24.9,58.0
180,1180,7,7.23,7.37,23,1,21.7,50.6
181,1181,4,8.38,8.0,55,0,25.1,58.7
182,1182,2,8.02,7.98,58,1,24.1,56.1
183,1183,6,8.33,8.4,103,1,25.0,58.3
184,1184,4,7.54,7.68,82,2,22.6,52.8
185,1185,4,5.99,6.0,82,3,18.0,41.9
186,1186,4,9.66,9.42,23,0,29.0,67.6
187,1187,8,5.58,5.27,19,4,16.7,39.1
188,1188,7,9.49,9.54,18,0,28.5,66.4
189,1189,3,9.51,9.28,8,0,28.5,66.6
190,1190,2,8.82,9.08,101,0,26.5,61.7
191,1191,2,8.58,8.6,82,1,25.7,60.1
192,1192,2,5.66,6.04,90,4,17.0,39.6
193,1193,4,6.21,6.24,94,3,18.6,43.5
194,1194,6,9.44,9.43,2,0,28.3,66.1
195,1195,5,5.67,5.3,65,4,17.0,39.7
196,1196,8,7.38,7.23,101,1,22.1,51.7
197,1197,6,7.05,6.7,74,2,21.1,49.4
198,1198,3,8.03,8.29,55,1,24.1,56.2
199,1199,1,7.75,8.01,86,2,23.2,54.2
200,1200,4,9.61,10.0,19,0,28.8,67.3
201,1201,3,7.38,7.0,116,1,22.1,51.7
202,1202,4,8.6,8.29,70,0,25.8,60.2
203,1203,4,8.8,8.6,61,0,26.4,61.6
204,1204,5,6.23,5.89,21,3,18.7,43.6
205,1205,1,6.12,6.01,45,3,18.4,42.8
206,1206,1,9.53,9.22,95,0,28.6,66.7
207,1207,2,6.84,6.62,8,2,20.5,47.9
208,1208,1,5.67,5.53,87,4,17.0,39.7
209,1209,7,6.27,5.99,21,3,18.8,43.9
210,1210,1,8.95,9.18,75,0,26.8,62.6
211,1211,5,8.26,8.31,113,1,24.8,57.8
212,1212,6,9.25,9.2,52,0,27.8,64.8
213,1213,2,5.7,5.97,94,4,17.1,39.9
214,1214,7,9.11,9.2,69,0,27.3,63.8
215,1215,6,5.92,6.25,13,3,17.8,41.4
216,1216,6,6.91,6.78,62,2,20.7,48.4
217,1217,7,9.62,9.75,12,0,28.9,67.3
218,1218,7,9.35,9.5,15,0,28.0,65.5
219,1219,8,6.14,6.03,53,3,18.4,43.0
220,1220,3,8.73,8.91,26,0,26.2,61.1
221,1221,1,5.85,5.72,37,3,17.5,40.9
222,1222,6,5.71,5.73,32,4,17.1,40.0
223,1223,3,8.38,8.16,9,1,25.1,58.7
224,1224,3,6.05,6.2,1,3,18.1,42.4
225,1225,4,7.84,7.78,62,1,23.5,54.9
226,1226,7,7.11,7.12,70,2,21.3,49.8
227,1227,1,7.23,7.4,44,2,21.7,50.6
228,1228,8,5.64,6.01,37,3,16.9,39.5
229,1229,7,6.85,7.23,24,2,20.5,47.9
230,1230,6,8.66,8.35,67,0,26.0,60.6
231,1231,1,7.48,7.27,85,1,22.4,52.4
232,1232,1,6.48,6.58,56,3,19.4,45.4
233,1233,6,7.46,7.8,85,1,22.4,52.2
234,1234,7,6.91,7.19,29,2,20.7,48.4
235,1235,5,7.23,6.86,39,2,21.7,50.6
236,1236,1,9.69,9.92,3,0,29.1,67.8
237,1237,5,5.87,6.13,71,3,17.6,41.1
238,1238,4,8.65,8.43,13,0,26.0,60.6
239,1239,5,9.6,9.49,45,0,28.8,67.2
240,1240,7,6.71,6.78,25,3,20.1,47.0
241,1241,2,7.27,7.28,69,1,21.8,50.9
242,1242,4,9.16,9.55,11,0,27.5,64.1
243,1243,7,9.08,8.89,29,0,27.2,63.6
244,1244,6,5.81,6.17,116,3,17.4,40.7
245,1245,2,5.56,5.66,37,4,16.7,38.9
246,1246,2,6.81,6.85,56,2,20.4,47.7
247,1247,1,9.67,9.53,54,0,29.0,67.7
248,1248,4,8.14,8.27,78,1,24.4,57.0
249,1249,5,6.75,7.13,59,2,20.2,47.2
250,1250,4,7.87,7.98,18,1,23.6,55.1
251,1251,6,5.57,5.38,86,4,16.7,39.0
252,1252,6,8.33,8.25,103,1,25.0,58.3
253,1253,8,8.38,8.12,111,0,25.1,58.7
254,1254,3,5.9,6.26,105,3,17.7,41.3
255,1255,8,9.35,9.32,60,0,28.0,65.5
256,1256,2,8.46,8.2,58,0,25.4,59.2
257,1257,2,9.3,9.49,108,0,27.9,65.1
258,1258,8,9.19,9.18,112,0,27.6,64.3
259,1259,8,8.1,8.04,39,1,24.3,56.7
260,1260,8,9.57,9.18,67,0,28.7,67.0
261,1261,3,6.16,6.12,120,3,18.5,43.1
262,1262,6,8.51,8.57,91,0,25.5,59.6
263,1263,2,6.12,6.26,12,3,18.4,42.8
264,1264,3,9.28,9.01,113,0,27.8,65.0
265,1265,7,6.76,6.59,25,2,20.3,47.3
266,1266,1,9.28,9.55,53,0,27.8,65.0
267,1267,4,9.15,9.41,9,0,27.5,64.0
268,1268,4,5.99,6.19,85,3,18.0,41.9
269,1269,6,5.74,5.58,84,3,17.2,40.2
270,1270,5,6.03,5.69,47,3,18.1,42.2
271,1271,7,6.52,6.77,11,3,19.6,45.6
272,1272,3,9.27,8.89,82,0,27.8,64.9
273,1273,8,8.38,8.14,115,1,25.1,58.7
274,1274,6,8.49,8.54,15,0,25.5,59.4
275,1275,4,6.01,5.75,114,3,18.0,42.1
276,1276,3,6.35,6.37,66,2,19.0,44.4
277,1277,3,5.91,6.01,14,3,17.7,41.4
278,1278,6,8.61,8.46,87,1,25.8,60.3
279,1279,3,9.69,10.0,4,0,29.1,67.8
280,1280,7,7.59,7.48,36,2,22.8,53.1
281,1281,4,6.53,6.5,19,3,19.6,45.7
282,1282,7,6.22,6.1,74,3,18.7,43.5
283,1283,1,6.92,7.02,20,2,20.8,48.4
284,1284,4,9.24,9.38,9,0,27.7,64.7
285,1285,2,7.99,8.22,42,1,24.0,55.9
286,1286,8,6.58,6.93,28,2,19.7,46.1
287,1287,6,6.33,6.04,90,2,19.0,44.3
288,1288,2,7.76,7.53,74,1,23.3,54.3
289,1289,4,6.21,6.02,104,3,18.6,43.5
290,1290,4,6.68,6.77,48,2,20.0,46.8
291,1291,3,7.88,8.06,18,2,23.6,55.2
292,1292,6,7.41,7.15,42,1,22.2,51.9
293,1293,2,7.81,7.49,96,1,23.4,54.7
294,1294,3,7.02,7.17,53,2,21.1,49.1
295,1295,6,9.46,9.14,39,0,28.4,66.2
296,1296,8,7.06,7.37,6,2,21.2,49.4
297,1297,6,5.83,5.89,92,3,17.5,40.8
298,1298,8,7.32,7.71,110,2,22.0,51.2
299,1299,3,5.67,5.64,23,3,17.0,39.7
300,1300,7,9.14,9.43,113,0,27.4,64.0
301,1301,5,6.99,6.61,120,2,21.0,48.9
302,1302,1,8.38,8.65,88,1,25.1,58.7
303,1303,8,6.07,5.87,75,3,18.2,42.5
304,1304,7,7.37,7.77,61,2,22.1,51.6
305,1305,6,8.45,8.54,107,0,25.3,59.1
306,1306,4,5.81,5.5,70,3,17.4,40.7
307,1307,1,8.85,8.45,21,0,26.5,61.9
308,1308,2,7.96,8.17,113,1,23.9,55.7
309,1309,8,9.18,8.88,26,0,27.5,64.3
310,1310,2,5.53,5.29,94,4,16.6,38.7
311,1311,6,5.66,5.36,84,4,17.0,39.6
312,1312,6,8.91,8.61,42,0,26.7,62.4
313,1313,1,7.67,7.52,26,1,23.0,53.7
314,1314,3,9.31,9.0,68,0,27.9,65.2
315,1315,7,7.8,7.54,73,1,23.4,54.6
316,1316,5,7.82,8.09,93,2,23.5,54.7
317,1317,3,8.94,8.75,59,0,26.8,62.6
318,1318,1,7.91,8.29,93,1,23.7,55.4
319,1319,2,9.8,9.85,46,0,29.4,68.6
320,1320,5,7.53,7.84,77,1,22.6,52.7
321,1321,5,9.25,8.98,100,0,27.8,64.8
322,1322,3,6.56,6.94,29,2,19.7,45.9
323,1323,1,6.51,6.37,31,3,19.5,45.6
324,1324,5,8.24,8.61,27,1,24.7,57.7
325,1325,4,8.91,9.23,9,0,26.7,62.4
326,1326,3,7.08,7.03,66,2,21.2,49.6
327,1327,8,9.23,9.14,75,0,27.7,64.6
328,1328,8,6.43,6.24,46,2,19.3,45.0
329,1329,3,5.88,5.5,24,3,17.6,41.2
330,1330,8,6.01,6.36,11,3,18.0,42.1
331,1331,2,8.89,9.16,13,0,26.7,62.2
332,1332,1,9.24,9.46,87,0,27.7,64.7
333,1333,2,5.67,6.07,98,4,17.0,39.7
334,1334,6,7.37,7.38,38,2,22.1,51.6
335,1335,6,7.66,8.03,65,2,23.0,53.6
336,1336,4,6.34,6.45,38,2,19.0,44.4
337,1337,7,5.75,5.4,6,3,17.2,40.2
338,1338,6,9.52,9.23,6,0,28.6,66.6
339,1339,3,9.06,8.81,114,0,27.2,63.4
340,1340,2,9.4,9.19,111,0,28.2,65.8
341,1341,8,7.1,7.11,36,2,21.3,49.7
342,1342,1,6.71,6.65,30,2,20.1,47.0
343,1343,1,6.09,6.1,18,3,18.3,42.6
344,1344,8,7.67,7.58,29,2,23.0,53.7
345,1345,8,6.25,6.4,120,3,18.8,43.8
346,1346,2,8.92,9.04,70,0,26.8,62.4
347,1347,4,6.3,6.05,43,3,18.9,44.1
348,1348,6,7.28,7.54,20,2,21.8,51.0
349,1349,2,6.12,6.25,91,3,18.4,42.8
350,1350,1,7.78,7.41,104,2,23.3,54.5
351,1351,6,5.82,5.98,16,3,17.5,40.7
352,1352,3,6.94,6.56,81,2,20.8,48.6
353,1353,5,6.91,6.89,66,2,20.7,48.4
354,1354,8,6.23,6.23,67,2,18.7,43.6
355,1355,7,7.63,7.36,48,1,22.9,53.4
356,1356,6,9.59,9.63,30,0,28.8,67.1
357,1357,5,8.96,8.91,85,0,26.9,62.7
358,1358,8,9.68,9.99,37,0,29.0,67.8
359,1359,2,9.37,9.48,90,0,28.1,65.6
360,1360,7,5.68,5.92,62,4,17.0,39.8
361,1361,8,9.25,9.35,113,0,27.8,64.8
362,1362,2,5.54,5.17,103,3,16.6,38.8
363,1363,1,7.54,7.62,42,1,22.6,52.8
364,1364,3,9.08,8.85,24,0,27.2,63.6
365,1365,3,5.82,6.1,65,3,17.5,40.7
366,1366,3,6.7,6.47,84,3,20.1,46.9
367,1367,8,8.7,8.67,84,1,26.1,60.9
368,1368,1,9.13,8.75,2,0,27.4,63.9
369,1369,1,9.38,9.21,15,0,28.1,65.7
370,1370,4,5.99,5.83,70,3,18.0,41.9
371,1371,4,8.54,8.62,23,0,25.6,59.8
372,1372,6,9.5,9.2,28,0,28.5,66.5
373,1373,5,9.02,9.39,27,0,27.1,63.1
374,1374,4,8.24,8.11,17,1,24.7,57.7
375,1375,8,5.77,5.51,43,4,17.3,40.4
376,1376,1,8.47,8.21,56,0,25.4,59.3
377,1377,8,7.55,7.95,32,1,22.6,52.9
378,1378,1,8.01,7.69,7,1,24.0,56.1
379,1379,2,6.1,6.3,73,3,18.3,42.7
380,1380,5,7.52,7.13,100,1,22.6,52.6
381,1381,3,7.48,7.13,3,2,22.4,52.4
382,1382,5,6.67,6.41,118,3,20.0,46.7
383,1383,8,5.74,5.52,20,3,17.2,40.2
384,1384,6,7.66,7.84,67,1,23.0,53.6
385,1385,5,8.18,7.85,35,1,24.5,57.3
386,1386,8,6.72,6.55,18,2,20.2,47.0
387,1387,6,6.5,6.47,1,3,19.5,45.5
388,1388,7,9.79,9.89,93,0,29.4,68.5
389,1389,8,8.53,8.79,97,1,25.6,59.7
390,1390,4,7.63,7.61,47,1,22.9,53.4
391,1391,4,8.74,8.68,48,0,26.2,61.2
392,1392,3,8.27,8.67,53,1,24.8,57.9
393,1393,1,5.76,6.15,42,4,17.3,40.3
394,1394,3,8.68,8.57,53,1,26.0,60.8
395,1395,6,9.13,8.98,9,0,27.4,63.9
396,1396,7,8.47,8.2,112,0,25.4,59.3
397,1397,8,5.86,6.19,81,3,17.6,41.0
398,1398,2,8.86,8.88,16,0,26.6,62.0
399,1399,2,9.61,9.81,110,0,28.8,67.3
400,1400,2,8.09,7.78,106,1,24.3,56.6
401,1401,8,6.15,6.07,109,3,18.5,43.1
402,1402,5,5.72,5.4,10,3,17.2,40.0
403,1403,7,5.73,5.62,28,4,17.2,40.1
404,1404,2,6.29,6.23,40,3,18.9,44.0
405,1405,2,7.59,7.59,73,2,22.8,53.1
406,1406,2,8.59,8.48,43,1,25.8,60.1
407,1407,2,7.38,7.56,80,1,22.1,51.7
408,1408,7,7.23,7.22,116,2,21.7,50.6
409,1409,8,5.74,6.14,16,3,17.2,40.2
410,1410,5,7.33,7.27,104,2,22.0,51.3
411,1411,3,9.37,9.14,49,0,28.1,65.6
412,1412,8,7.58,7.89,57,1,22.7,53.1
413,1413,3,5.87,5.49,37,4,17.6,41.1
414,1414,4,7.67,7.46,114,1,23.0,53.7
415,1415,3,6.86,6.52,54,3,20.6,48.0
416,1416,1,8.61,8.78,112,1,25.8,60.3
417,1417,5,5.95,6.26,70,3,17.9,41.6
418,1418,6,7.41,7.72,45,2,22.2,51.9
419,1419,2,7.08,6.87,120,2,21.2,49.6
420,1420,7,7.94,8.03,77,1,23.8,55.6
421,1421,1,7.08,6.84,119,2,21.2,49.6
422,1422,8,7.56,7.77,105,1,22.7,52.9
423,1423,3,8.37,8.01,3,1,25.1,58.6
424,1424,5,9.29,8.92,16,0,27.9,65.0
425,1425,2,6.32,6.01,59,3,19.0,44.2
426,1426,4,5.69,5.92,40,4,17.1,39.8
427,1427,6,7.26,7.24,119,1,21.8,50.8
428,1428,6,7.51,7.88,107,2,22.5,52.6
429,1429,6,7.98,8.27,68,1,23.9,55.9
430,1430,1,8.81,8.78,3,0,26.4,61.7
431,1431,3,8.08,7.93,119,1,24.2,56.6
432,1432,1,6.49,6.26,56,3,19.5,45.4
433,1433,7,9.74,9.66,84,0,29.2,68.2
434,1434,2,8.56,8.34,98,1,25.7,59.9
435,1435,5,8.28,7.9,35,1,24.8,58.0
436,1436,4,5.59,5.62,83,3,16.8,39.1
437,1437,5,7.01,7.08,56,2,21.0,49.1
438,1438,4,7.57,7.74,114,2,22.7,53.0
439,1439,4,7.3,7.1,57,2,21.9,51.1
440,1440,8,8.24,7.91,93,1,24.7,57.7
441,1441,1,6.57,6.64,69,2,19.7,46.0
442,1442,1,9.06,9.43,103,0,27.2,63.4
443,1443,8,7.87,7.49,119,1,23.6,55.1
444,1444,7,6.93,7.31,46,2,20.8,48.5
445,1445,2,7.72,7.38,9,1,23.2,54.0
446,1446,8,5.67,5.6,16,3,17.0,39.7
447,1447,4,9.5,9.14,105,0,28.5,66.5
448,1448,8,8.04,8.13,84,1,24.1,56.3
449,1449,1,9.56,9.4,104,0,28.7,66.9
450,1450,4,7.42,7.23,12,1,22.3,51.9
451,1451,3,9.01,9.32,111,0,27.0,63.1
452,1452,5,8.28,8.08,66,1,24.8,58.0
453,1453,2,6.43,6.65,120,2,19.3,45.0
454,1454,7,6.34,6.33,67,3,19.0,44.4
455,1455,5,8.47,8.72,59,1,25.4,59.3
456,1456,7,8.04,8.09,20,1,24.1,56.3
457,1457,4,7.63,7.95,82,1,22.9,53.4
458,1458,4,8.78,8.71,87,1,26.3,61.5
459,1459,7,7.53,7.64,70,1,22.6,52.7
460,1460,7,7.08,7.26,47,2,21.2,49.6
461,1461,5,6.97,6.76,7,2,20.9,48.8
462,1462,8,9.23,9.24,43,0,27.7,64.6
463,1463,7,8.63,8.24,3,1,25.9,60.4
464,1464,4,9.56,9.38,11,0,28.7,66.9
465,1465,7,7.99,8.12,45,1,24.0,55.9
466,1466,7,7.28,7.63,78,2,21.8,51.0
467,1467,7,6.24,6.56,14,3,18.7,43.7
468,1468,6,8.06,7.98,118,1,24.2,56.4
469,1469,3,6.06,6.01,93,3,18.2,42.4
470,1470,5,8.26,7.97,116,0,24.8,57.8
471,1471,3,6.36,6.33,90,3,19.1,44.5
472,1472,1,9.78,9.38,65,0,29.3,68.5
473,1473,3,8.04,7.74,114,1,24.1,56.3
474,1474,6,6.29,6.28,119,3,18.9,44.0
475,1475,4,8.33,8.02,57,1,25.0,58.3
476,1476,4,8.75,8.45,110,0,26.2,61.2
477,1477,4,8.7,8.98,98,0,26.1,60.9
478,1478,5,9.57,9.2,118,0,28.7,67.0
479,1479,3,8.7,8.6,33,0,26.1,60.9
480,1480,1,6.6,6.98,4,2,19.8,46.2
481,1481,3,8.91,8.52,117,0,26.7,62.4
482,1482,2,8.8,8.94,106,0,26.4,61.6
483,1483,2,8.75,8.41,36,1,26.2,61.2
484,1484,4,8.3,8.3,80,1,24.9,58.1
485,1485,6,5.71,5.57,59,3,17.1,40.0
486,1486,5,6.26,6.06,62,2,18.8,43.8
487,1487,3,9.53,9.29,52,0,28.6,66.7
488,1488,5,9.5,9.32,92,0,28.5,66.5
489,1489,2,6.07,6.08,92,3,18.2,42.5
490,1490,5,5.54,5.51,61,3,16.6,38.8
491,1491,6,7.37,7.3,108,2,22.1,51.6
492,1492,8,6.07,6.28,12,3,18.2,42.5
493,1493,4,5.57,5.21,114,3,16.7,39.0
494,1494,2,9.65,9.8,61,0,29.0,67.5
495,1495,8,8.4,8.04,87,1,25.2,58.8
496,1496,7,6.88,6.7,12,2,20.6,48.2
497,1497,3,8.54,8.32,79,0,25.6,59.8
498,1498,4,8.62,8.39,103,0,25.9,60.3
499,1499,3,5.53,5.22,97,3,16.6,38.7
500,1500,1,5.93,5.68,33,3,17.8,41.5
501,1501,6,6.45,6.61,28,3,19.4,45.1
502,1502,5,5.6,5.8,7,3,16.8,39.2
503,1503,8,5.63,5.93,9,3,16.9,39.4
504,1504,4,8.33,8.07,5,1,25.0,58.3
505,1505,2,6.22,5.98,16,3,18.7,43.5
506,1506,4,6.02,5.91,91,3,18.1,42.1
507,1507,3,9.79,9.86,64,0,29.4,68.5
508,1508,1,6.8,6.44,104,2,20.4,47.6
509,1509,3,8.41,8.7,28,1,25.2,58.9
510,1510,1,9.14,8.94,47,0,27.4,64.0
511,1511,6,6.0,6.4,33,3,18.0,42.0
512,1512,4,6.04,5.93,120,3,18.1,42.3
513,1513,8,8.37,8.11,94,1,25.1,58.6
514,1514,8,6.3,6.21,78,3,18.9,44.1
515,1515,6,7.35,7.37,50,1,22.0,51.4
