placement_id,student_id,aptitude_score,resume_score,communication_score,interview_readiness,employability_score,placement_probability,placed,package_lpa
103,1103,72,77,80,76,78.3,Medium,1,15.55
104,1104,68,47,72,70,53.5,Low,0,0.0
105,1105,86,52,73,79,62.5,Medium,0,0.0
106,1106,86,38,72,79,38.9,Low,0,0.0
107,1107,100,75,95,97,76.8,Medium,1,7.35
108,1108,99,80,100,99,83.2,High,1,15.77
109,1109,68,43,73,70,42.7,Low,0,0.0
110,1110,78,57,69,73,62.6,Medium,1,11.77
111,1111,93,76,93,93,80.1,High,1,11.94
112,1112,93,76,97,95,77.7,Medium,1,8.2
113,1113,57,45,59,58,52.3,Low,0,0.0
114,1114,88,77,94,91,79.4,Medium,1,17.96
115,1115,76,60,65,70,70.2,Medium,1,4.61
116,1116,72,37,65,68,39.1,Low,0,0.0
117,1117,100,75,94,97,79.1,Medium,1,9.14
118,1118,73,56,77,75,56.5,Low,0,0.0
119,1119,55,43,65,60,49.3,Low,0,0.0
120,1120,51,30,37,44,40.2,Low,0,0.0
121,1121,56,42,65,60,42.0,Low,0,0.0
122,1122,88,70,95,91,74.2,Medium,0,0.0
123,1123,65,45,66,65,46.1,Low,0,0.0
124,1124,88,70,90,89,72.5,Medium,1,8.56
125,1125,83,73,96,89,73.9,Medium,1,10.15
126,1126,100,80,100,100,80.0,High,1,6.82
127,1127,71,41,74,72,44.4,Low,0,0.0
128,1128,53,42,57,55,47.0,Low,0,0.0
129,1129,83,68,76,79,68.7,Medium,1,9.68
130,1130,82,47,63,72,54.5,Low,0,0.0
131,1131,55,41,59,57,44.9,Low,0,0.0
132,1132,53,31,48,50,38.3,Low,0,0.0
133,1133,84,54,77,80,56.9,Low,0,0.0
134,1134,67,62,64,65,68.4,Medium,1,6.84
135,1135,76,60,69,72,63.6,Medium,0,0.0
136,1136,55,59,77,66,62.9,Medium,0,0.0
137,1137,60,42,52,56,49.1,Low,0,0.0
138,1138,92,78,100,96,75.3,Medium,1,17.09
139,1139,53,34,54,53,39.8,Low,0,0.0
140,1140,75,69,83,79,71.1,Medium,1,16.77
141,1141,62,41,65,63,50.9,Low,0,0.0
142,1142,76,54,71,73,56.8,Low,0,0.0
143,1143,60,41,59,59,47.5,Low,0,0.0
144,1144,100,76,93,96,81.3,High,1,6.3
145,1145,74,73,100,87,78.6,Medium,1,5.53
146,1146,66,54,62,64,60.8,Medium,0,0.0
147,1147,78,73,95,86,70.2,Medium,1,14.04
148,1148,100,75,86,93,78.8,Medium,1,15.02
149,1149,70,67,88,79,66.4,Medium,0,0.0
150,1150,50,41,59,54,43.4,Low,0,0.0
151,1151,49,41,50,49,42.5,Low,0,0.0
152,1152,100,87,100,100,84.0,High,1,13.16
153,1153,68,50,78,73,49.3,Low,0,0.0
154,1154,61,63,84,72,64.6,Medium,0,0.0
155,1155,67,42,47,57,46.9,Low,0,0.0
156,1156,47,48,58,52,49.9,Low,0,0.0
157,1157,44,30,46,45,41.1,Low,0,0.0
158,1158,66,46,65,65,54.9,Low,0,0.0
159,1159,76,64,76,76,65.0,Medium,1,4.83
160,1160,51,46,59,55,49.2,Low,0,0.0
161,1161,82,71,82,82,71.2,Medium,1,6.32
162,1162,63,57,58,60,63.2,Medium,0,0.0
163,1163,69,62,82,75,57.5,Low,0,0.0
164,1164,98,71,86,92,79.0,Medium,0,0.0
165,1165,81,69,79,80,67.6,Medium,1,16.8
166,1166,84,63,88,86,62.5,Medium,0,0.0
167,1167,95,82,98,96,82.5,High,1,6.28
168,1168,49,47,63,56,56.1,Low,0,0.0
169,1169,54,36,55,54,39.9,Low,0,0.0
170,1170,74,62,69,71,72.3,Medium,1,8.54
171,1171,92,78,100,96,76.2,Medium,1,11.52
172,1172,84,69,92,88,69.9,Medium,0,0.0
173,1173,69,47,70,69,47.6,Low,0,0.0
174,1174,67,54,76,71,58.2,Low,0,0.0
175,1175,85,66,77,81,64.9,Medium,1,14.32
176,1176,68,43,63,65,47.1,Low,0,0.0
177,1177,96,73,96,96,78.8,Medium,0,0.0
178,1178,100,80,100,100,76.9,Medium,1,10.65
179,1179,87,66,81,84,67.9,Medium,0,0.0
180,1180,69,56,75,72,57.6,Low,0,0.0
181,1181,100,67,88,94,70.4,Medium,1,16.75
182,1182,83,56,81,82,65.7,Medium,1,17.54
183,1183,80,62,79,79,64.1,Medium,0,0.0
184,1184,74,51,67,70,58.1,Low,0,0.0
185,1185,36,34,44,40,39.2,Low,0,0.0
186,1186,96,81,99,97,81.4,High,1,4.07
187,1187,53,32,50,51,37.9,Low,0,0.0
188,1188,100,78,100,100,80.3,High,1,10.33
189,1189,96,76,96,96,79.1,Medium,1,6.69
190,1190,100,74,96,98,75.1,Medium,1,6.12
191,1191,88,66,86,87,70.9,Medium,1,10.26
192,1192,72,41,68,70,41.6,Low,0,0.0
193,1193,62,48,72,67,46.6,Low,0,0.0
194,1194,73,74,78,75,76.7,Medium,1,15.88
195,1195,60,37,57,58,40.5,Low,0,0.0
196,1196,59,50,59,59,56.0,Low,0,0.0
197,1197,49,36,51,50,47.0,Low,0,0.0
198,1198,66,59,72,69,60.4,Medium,0,0.0
199,1199,72,70,99,85,63.0,Medium,0,0.0
200,1200,100,78,92,96,82.0,High,1,13.98
201,1201,59,51,61,60,54.5,Low,0,0.0
202,1202,82,59,77,79,66.7,Medium,0,0.0
203,1203,100,71,96,98,73.9,Medium,1,10.16
204,1204,74,48,68,71,48.6,Low,0,0.0
205,1205,32,30,39,35,37.1,Low,0,0.0
206,1206,88,73,80,84,78.5,Medium,1,10.93
207,1207,96,62,86,91,58.9,Low,0,0.0
208,1208,68,34,68,68,36.2,Low,0,0.0
209,1209,55,41,61,58,43.6,Low,0,0.0
210,1210,100,85,100,100,81.3,High,1,8.43
211,1211,87,55,75,81,65.2,Medium,0,0.0
212,1212,94,75,100,97,75.3,Medium,1,16.88
213,1213,72,45,76,74,41.8,Low,0,0.0
214,1214,77,70,71,74,74.5,Medium,1,16.78
215,1215,52,41,64,58,39.2,Low,0,0.0
216,1216,72,48,68,70,52.0,Low,0,0.0
217,1217,86,72,95,90,79.5,Medium,1,8.01
218,1218,96,81,96,96,78.8,Medium,1,16.33
219,1219,57,35,52,54,40.7,Low,0,0.0
220,1220,96,78,100,98,76.7,Medium,1,17.66
221,1221,44,32,51,47,38.0,Low,0,0.0
222,1222,64,43,67,65,41.7,Low,0,0.0
223,1223,62,51,51,56,62.0,Medium,1,10.94
224,1224,45,30,35,40,37.3,Low,0,0.0
225,1225,76,55,75,75,60.2,Medium,0,0.0
226,1226,72,55,78,75,54.0,Low,1,13.85
227,1227,50,50,69,59,54.6,Low,0,0.0
228,1228,36,30,35,35,37.3,Low,0,0.0
229,1229,78,50,79,78,52.0,Low,0,0.0
230,1230,99,67,89,94,69.7,Medium,0,0.0
231,1231,72,58,79,75,59.3,Low,1,15.35
232,1232,59,51,61,60,52.4,Low,1,13.7
233,1233,95,62,87,91,61.5,Medium,0,0.0
234,1234,50,44,60,55,47.4,Low,0,0.0
235,1235,49,53,65,57,53.7,Low,0,0.0
236,1236,100,79,89,94,81.1,High,1,4.46
237,1237,62,44,68,65,44.0,Low,0,0.0
238,1238,98,68,90,94,70.0,Medium,1,14.43
239,1239,90,78,87,88,82.4,High,1,11.1
240,1240,73,58,74,73,51.8,Low,0,0.0
241,1241,87,62,92,89,62.3,Medium,0,0.0
242,1242,75,62,64,69,70.0,Medium,1,14.26
243,1243,99,70,94,96,74.3,Medium,1,6.93
244,1244,56,38,53,54,39.4,Low,0,0.0
245,1245,46,30,47,46,34.9,Low,0,0.0
246,1246,84,58,85,84,55.7,Low,0,0.0
247,1247,97,83,97,97,82.1,High,1,11.27
248,1248,91,57,83,87,63.8,Medium,1,4.22
249,1249,60,40,62,61,46.8,Low,0,0.0
250,1250,88,61,91,89,62.1,Medium,1,11.18
251,1251,66,37,64,65,39.0,Low,0,0.0
252,1252,75,66,81,78,67.4,Medium,1,9.03
253,1253,82,73,87,84,71.4,Medium,1,16.87
254,1254,62,41,69,65,42.7,Low,0,0.0
255,1255,94,80,100,97,79.2,Medium,1,13.89
256,1256,64,65,71,67,69.1,Medium,1,12.84
257,1257,87,77,95,91,79.8,Medium,1,17.95
258,1258,86,80,91,88,78.5,Medium,1,5.37
259,1259,80,61,76,78,64.8,Medium,1,9.59
260,1260,93,77,95,94,81.0,High,1,12.48
261,1261,60,39,60,60,43.2,Low,0,0.0
262,1262,99,64,78,88,69.3,Medium,1,7.62
263,1263,61,41,54,57,42.1,Low,0,0.0
264,1264,95,79,88,91,78.8,Medium,1,6.82
265,1265,75,42,70,72,50.1,Low,0,0.0
266,1266,73,77,95,84,76.7,Medium,1,16.68
267,1267,83,66,82,82,71.4,Medium,1,13.27
268,1268,63,41,65,64,45.4,Low,0,0.0
269,1269,57,35,63,60,40.7,Low,0,0.0
270,1270,77,38,58,67,42.9,Low,0,0.0
271,1271,70,48,68,69,49.2,Low,0,0.0
272,1272,99,80,90,94,78.1,Medium,1,7.05
273,1273,85,67,82,83,66.6,Medium,1,12.25
274,1274,100,71,93,96,73.8,Medium,1,8.33
275,1275,45,37,56,50,39.3,Low,0,0.0
276,1276,61,39,50,55,44.5,Low,0,0.0
277,1277,56,41,58,57,44.3,Low,0,0.0
278,1278,83,63,81,82,67.2,Medium,0,0.0
279,1279,100,87,100,100,85.4,High,1,4.58
280,1280,56,50,68,62,55.5,Low,0,0.0
281,1281,63,38,58,60,43.8,Low,0,0.0
282,1282,68,33,48,58,45.0,Low,0,0.0
283,1283,81,52,77,79,55.3,Low,0,0.0
284,1284,96,71,93,94,76.1,Medium,1,8.89
285,1285,82,58,75,78,63.9,Medium,0,0.0
286,1286,55,36,49,52,43.1,Low,0,0.0
287,1287,68,46,74,71,48.2,Low,0,0.0
288,1288,73,54,81,77,58.3,Low,1,12.38
289,1289,57,39,65,61,41.3,Low,0,0.0
290,1290,78,40,63,70,46.8,Low,0,0.0
291,1291,92,55,79,85,60.3,Medium,1,11.09
292,1292,91,57,83,87,56.8,Low,0,0.0
293,1293,48,47,63,55,54.7,Low,0,0.0
294,1294,68,54,67,67,57.3,Low,0,0.0
295,1295,83,77,89,86,77.4,Medium,1,16.61
296,1296,60,52,63,61,52.9,Low,0,0.0
297,1297,71,44,75,73,43.1,Low,0,0.0
298,1298,72,52,76,74,56.2,Low,0,0.0
299,1299,70,44,69,69,45.8,Low,0,0.0
300,1300,97,80,97,97,78.2,Medium,1,17.25
301,1301,61,52,67,64,54.0,Low,0,0.0
302,1302,61,56,63,62,62.2,Medium,0,0.0
303,1303,53,32,51,52,37.9,Low,0,0.0
304,1304,74,54,67,70,58.6,Low,0,0.0
305,1305,100,78,96,98,75.3,Medium,1,11.05
306,1306,42,30,41,41,33.0,Low,0,0.0
307,1307,94,81,100,97,78.1,Medium,1,8.99
308,1308,83,53,74,78,59.9,Low,1,15.33
309,1309,100,75,100,100,75.6,Medium,0,0.0
310,1310,64,39,65,64,40.0,Low,0,0.0
311,1311,50,30,47,48,37.5,Low,0,0.0
312,1312,80,75,100,90,75.2,Medium,1,13.6
313,1313,74,53,70,72,55.8,Low,0,0.0
314,1314,92,78,100,96,79.1,Medium,1,11.42
315,1315,71,65,82,76,64.0,Medium,1,5.47
316,1316,75,55,69,72,61.2,Medium,0,0.0
317,1317,98,76,97,97,74.4,Medium,1,10.22
318,1318,74,65,79,76,65.4,Medium,1,11.9
319,1319,100,82,95,97,84.6,High,1,6.95
320,1320,78,60,79,78,60.1,Medium,1,4.09
321,1321,100,83,100,100,81.4,High,1,10.49
322,1322,54,43,64,59,47.9,Low,0,0.0
323,1323,30,36,45,37,41.6,Low,0,0.0
324,1324,71,58,81,76,65.4,Medium,0,0.0
325,1325,85,67,89,87,70.6,Medium,1,15.15
326,1326,80,56,81,80,57.7,Low,1,10.98
327,1327,92,75,95,93,79.3,Medium,1,8.17
328,1328,51,40,48,49,44.7,Low,0,0.0
329,1329,56,30,37,46,35.6,Low,0,0.0
330,1330,59,40,52,55,45.3,Low,0,0.0
331,1331,93,62,79,86,71.4,Medium,1,14.68
332,1332,89,62,78,83,72.8,Medium,1,11.16
333,1333,39,34,45,42,37.3,Low,0,0.0
334,1334,67,52,77,72,56.4,Low,0,0.0
335,1335,76,59,86,81,63.1,Medium,0,0.0
336,1336,52,37,46,49,43.8,Low,0,0.0
337,1337,58,34,54,56,41.1,Low,0,0.0
338,1338,100,85,100,100,84.3,High,1,4.86
339,1339,77,61,76,76,71.4,Medium,1,5.2
340,1340,93,79,99,96,79.1,Medium,1,9.1
341,1341,79,53,89,84,53.6,Low,0,0.0
342,1342,68,40,53,60,48.5,Low,0,0.0
343,1343,65,42,57,61,43.6,Low,0,0.0
344,1344,100,73,100,100,67.8,Medium,1,10.66
345,1345,48,32,36,42,39.9,Low,0,0.0
346,1346,89,69,88,88,74.5,Medium,1,14.55
347,1347,41,34,51,46,41.9,Low,0,0.0
348,1348,71,59,80,75,60.6,Medium,1,8.04
349,1349,63,48,72,67,47.1,Low,0,0.0
350,1350,70,55,68,69,60.2,Medium,0,0.0
351,1351,68,44,71,69,44.3,Low,0,0.0
352,1352,51,50,69,60,48.9,Low,0,0.0
353,1353,54,40,62,58,46.9,Low,1,7.73
354,1354,74,46,64,69,46.4,Low,0,0.0
355,1355,83,63,84,83,61.8,Medium,0,0.0
356,1356,100,83,96,98,83.0,High,1,8.45
357,1357,100,75,100,100,77.8,Medium,1,12.06
358,1358,100,87,100,100,83.7,High,1,7.76
359,1359,96,73,100,98,76.6,Medium,1,13.54
360,1360,45,30,46,45,36.6,Low,0,0.0
361,1361,98,67,79,88,73.5,Medium,1,13.29
362,1362,41,30,46,43,35.6,Low,0,0.0
363,1363,90,58,88,89,60.6,Medium,0,0.0
364,1364,80,64,73,76,74.4,Medium,1,17.73
365,1365,71,40,77,74,43.1,Low,0,0.0
366,1366,73,44,60,66,48.5,Low,0,0.0
367,1367,96,72,85,90,72.8,Medium,1,5.2
368,1368,94,77,89,91,78.3,Medium,1,12.39
369,1369,100,71,96,98,78.0,Medium,1,17.34
370,1370,59,42,56,57,44.4,Low,0,0.0
371,1371,91,76,96,93,73.2,Medium,1,9.34
372,1372,94,78,97,95,80.2,High,1,4.14
373,1373,83,73,80,81,75.3,Medium,1,16.76
374,1374,59,48,54,56,57.8,Low,0,0.0
375,1375,49,36,59,54,41.1,Low,0,0.0
376,1376,83,71,87,85,69.7,Medium,0,0.0
377,1377,88,63,99,93,63.0,Medium,0,0.0
378,1378,58,46,56,57,59.6,Low,0,0.0
379,1379,52,41,64,58,42.8,Low,0,0.0
380,1380,58,49,70,64,54.2,Low,0,0.0
381,1381,69,56,75,72,55.7,Low,0,0.0
382,1382,58,40,58,58,44.6,Low,0,0.0
383,1383,68,42,67,67,42.9,Low,0,0.0
384,1384,78,58,85,81,60.2,Medium,1,6.44
385,1385,86,60,84,85,65.2,Medium,0,0.0
386,1386,33,52,66,49,48.7,Low,0,0.0
387,1387,85,42,62,73,46.6,Low,0,0.0
388,1388,91,80,100,95,81.8,High,0,0.0
389,1389,95,57,74,84,66.0,Medium,1,14.97
390,1390,83,50,62,72,58.9,Low,0,0.0
391,1391,80,71,87,83,70.1,Medium,1,7.34
392,1392,89,74,99,94,73.4,Medium,1,15.65
393,1393,54,30,56,55,34.3,Low,0,0.0
394,1394,73,67,78,75,68.8,Medium,1,12.03
395,1395,80,67,89,84,73.7,Medium,1,10.97
396,1396,75,72,88,81,70.8,Medium,1,8.21
397,1397,56,38,48,52,41.1,Low,0,0.0
398,1398,79,67,75,77,71.0,Medium,1,12.37
399,1399,100,85,97,98,83.6,High,1,13.39
400,1400,79,51,67,73,59.9,Low,0,0.0
401,1401,52,48,79,65,44.7,Low,0,0.0
402,1402,36,30,36,36,30.6,Low,0,0.0
403,1403,46,33,57,51,37.9,Low,0,0.0
404,1404,56,44,60,58,48.2,Low,0,0.0
405,1405,97,60,88,92,62.4,Medium,0,0.0
406,1406,80,64,83,81,69.7,Medium,0,0.0
407,1407,65,52,68,66,56.0,Low,0,0.0
408,1408,59,52,72,65,57.8,Low,0,0.0
409,1409,56,36,44,50,40.6,Low,0,0.0
410,1410,64,49,60,62,52.2,Low,0,0.0
411,1411,83,80,100,91,79.4,Medium,0,0.0
412,1412,68,54,67,67,58.5,Low,1,5.52
413,1413,69,48,72,70,47.6,Low,0,0.0
414,1414,80,52,66,73,59.7,Low,1,6.18
415,1415,50,47,62,56,50.9,Low,0,0.0
416,1416,77,68,84,80,68.0,Medium,1,17.98
417,1417,43,30,43,43,36.5,Low,0,0.0
418,1418,79,53,71,75,56.2,Low,0,0.0
419,1419,61,46,51,56,52.5,Low,0,0.0
420,1420,81,60,75,78,64.8,Medium,0,0.0
421,1421,60,50,72,66,51.5,Low,0,0.0
422,1422,77,51,71,74,55.4,Low,0,0.0
423,1423,63,58,74,68,65.7,Medium,1,9.67
424,1424,90,69,79,84,74.0,Medium,1,10.54
425,1425,55,36,58,56,41.2,Low,0,0.0
426,1426,49,38,48,48,40.8,Low,0,0.0
427,1427,51,46,50,50,50.8,Low,0,0.0
428,1428,74,49,66,70,53.5,Low,0,0.0
429,1429,85,64,92,88,65.0,Medium,0,0.0
430,1430,100,79,99,99,78.2,Medium,1,11.32
431,1431,78,62,92,85,64.6,Medium,1,7.22
432,1432,76,57,86,81,54.3,Low,0,0.0
433,1433,100,80,100,100,81.5,High,1,9.84
434,1434,79,62,83,81,65.6,Medium,0,0.0
435,1435,81,68,91,86,69.9,Medium,1,7.02
436,1436,53,36,63,58,38.9,Low,0,0.0
437,1437,75,60,79,77,56.7,Low,0,0.0
438,1438,92,59,77,84,61.1,Medium,0,0.0
439,1439,85,62,78,81,59.0,Low,0,0.0
440,1440,66,55,79,72,63.4,Medium,1,8.33
441,1441,73,38,59,66,50.2,Low,0,0.0
442,1442,96,73,100,98,74.3,Medium,1,6.69
443,1443,72,69,83,77,68.6,Medium,0,0.0
444,1444,51,46,51,51,50.6,Low,0,0.0
445,1445,83,67,83,83,64.0,Medium,0,0.0
446,1446,64,42,74,69,39.8,Low,0,0.0
447,1447,100,80,100,100,81.5,High,1,15.26
448,1448,80,68,91,85,67.9,Medium,1,13.32
449,1449,96,79,89,92,81.0,High,1,13.45
450,1450,65,48,54,59,54.5,Low,0,0.0
451,1451,89,81,92,90,79.9,Medium,1,7.28
452,1452,100,62,82,91,64.8,Medium,0,0.0
453,1453,61,42,57,59,44.2,Low,0,0.0
454,1454,68,41,59,63,45.2,Low,0,0.0
455,1455,76,67,88,82,69.4,Medium,0,0.0
456,1456,87,70,88,87,64.9,Medium,0,0.0
457,1457,73,54,57,65,56.4,Low,0,0.0
458,1458,84,59,72,78,67.1,Medium,1,9.65
459,1459,74,50,68,71,55.5,Low,0,0.0
460,1460,53,48,64,58,50.8,Low,0,0.0
461,1461,58,52,72,65,53.7,Low,0,0.0
462,1462,87,81,97,92,81.8,High,1,8.26
463,1463,100,70,89,94,74.1,Medium,0,0.0
464,1464,83,72,84,83,74.9,Medium,1,15.95
465,1465,95,72,92,93,66.0,Medium,1,7.23
466,1466,75,56,71,73,57.6,Low,0,0.0
467,1467,71,44,74,72,48.1,Low,0,0.0
468,1468,85,64,87,86,65.3,Medium,0,0.0
469,1469,82,47,77,79,48.1,Low,0,0.0
470,1470,88,67,95,91,69.2,Medium,1,5.85
471,1471,66,51,78,72,49.2,Low,0,0.0
472,1472,92,78,100,96,82.5,High,1,11.01
473,1473,92,60,84,88,64.5,Medium,1,12.16
474,1474,76,41,54,65,44.0,Low,0,0.0
475,1475,88,80,100,94,74.8,Medium,1,12.88
476,1476,100,75,100,100,73.7,Medium,1,9.3
477,1477,80,59,69,74,67.9,Medium,0,0.0
478,1478,100,82,100,100,81.5,High,1,10.02
479,1479,79,57,65,72,68.2,Medium,1,8.93
480,1480,73,52,73,73,52.9,Low,1,12.97
481,1481,100,74,98,99,75.2,Medium,1,7.58
482,1482,75,70,84,79,72.9,Medium,1,7.1
483,1483,93,72,89,91,74.2,Medium,1,12.88
484,1484,79,68,84,81,67.5,Medium,1,4.55
485,1485,49,30,35,42,34.5,Low,0,0.0
486,1486,70,44,70,70,48.3,Low,0,0.0
487,1487,85,78,96,90,80.0,High,1,6.39
488,1488,100,83,100,100,81.9,High,1,7.79
489,1489,84,46,69,76,44.1,Low,0,0.0
490,1490,59,30,47,53,35.0,Low,0,0.0
491,1491,82,49,71,76,56.4,Low,0,0.0
492,1492,52,37,56,54,41.1,Low,0,0.0
493,1493,69,40,62,65,39.8,Low,0,0.0
494,1494,100,74,99,99,79.8,Medium,1,10.03
495,1495,70,54,67,68,62.8,Medium,0,0.0
496,1496,59,46,69,64,48.8,Low,0,0.0
497,1497,83,68,86,84,71.5,Medium,0,0.0
498,1498,91,73,87,89,70.9,Medium,1,13.47
499,1499,46,30,37,41,32.8,Low,0,0.0
500,1500,40,32,37,38,40.2,Low,0,0.0
501,1501,61,51,74,67,50.1,Low,0,0.0
502,1502,81,44,70,75,41.9,Low,0,0.0
503,1503,47,35,56,51,34.6,Low,0,0.0
504,1504,81,64,87,84,67.5,Medium,1,8.64
505,1505,69,45,73,71,48.1,Low,0,0.0
506,1506,41,30,35,38,36.3,Low,0,0.0
507,1507,91,68,73,82,77.8,Medium,1,11.88
508,1508,55,43,68,61,46.6,Low,0,0.0
509,1509,81,66,83,82,69.4,Medium,1,7.46
510,1510,77,71,83,80,75.5,Medium,1,6.21
511,1511,50,30,47,48,37.4,Low,0,0.0
512,1512,57,40,56,56,45.8,Low,0,0.0
513,1513,71,63,75,73,65.8,Medium,0,0.0
514,1514,72,54,71,71,48.6,Low,0,0.0
515,1515,58,49,60,59,54.2,Low,0,0.0
516,1516,86,67,88,87,67.9,Medium,0,0.0
517,1517,77,53,68,72,59.6,Low,0,0.0
518,1518,58,37,46,52,44.5,Low,0,0.0
519,1519,72,56,76,74,58.4,Low,0,0.0
520,1520,94,84,98,96,80.9,High,1,10.67
521,1521,47,32,40,43,36.9,Low,0,0.0
522,1522,88,83,100,94,80.2,High,1,4.75
523,1523,84,74,89,86,75.4,Medium,1,13.17
524,1524,52,35,47,49,42.0,Low,0,0.0
525,1525,73,63,85,79,63.3,Medium,1,6.74
526,1526,56,48,54,55,53.8,Low,0,0.0
527,1527,99,78,100,99,75.3,Medium,1,10.58
