attendance_id,student_id,semester,attendance_percentage,classes_attended,classes_conducted,low_attendance
279,1279,5,100,150,150,False
280,1280,5,85,127,150,False
281,1281,8,71,106,150,True
282,1282,1,87,130,150,False
283,1283,1,86,129,150,False
284,1284,8,92,138,150,False
285,1285,1,89,133,150,False
286,1286,3,81,121,150,False
287,1287,8,80,120,150,False
288,1288,1,85,127,150,False
289,1289,6,87,130,150,False
290,1290,8,82,123,150,False
291,1291,8,86,129,150,False
292,1292,7,73,109,150,True
293,1293,6,91,136,150,False
294,1294,2,88,132,150,False
295,1295,8,88,132,150,False
296,1296,2,93,139,150,False
297,1297,3,81,121,150,False
298,1298,5,86,129,150,False
299,1299,1,87,130,150,False
300,1300,5,100,150,150,False
301,1301,6,88,132,150,False
302,1302,2,92,138,150,False
303,1303,2,92,138,150,False
304,1304,8,92,138,150,False
305,1305,6,93,139,150,False
306,1306,5,69,103,150,True
307,1307,8,85,127,150,False
308,1308,4,78,117,150,False
309,1309,5,100,150,150,False
310,1310,1,99,148,150,False
311,1311,1,72,108,150,True
312,1312,3,89,133,150,False
313,1313,5,82,123,150,False
314,1314,4,93,139,150,False
315,1315,7,90,135,150,False
316,1316,5,85,127,150,False
317,1317,1,75,112,150,False
318,1318,3,90,135,150,False
319,1319,8,91,136,150,False
320,1320,1,87,130,150,False
321,1321,2,98,147,150,False
322,1322,2,86,129,150,False
323,1323,5,87,130,150,False
324,1324,2,93,139,150,False
325,1325,8,91,136,150,False
326,1326,1,89,133,150,False
327,1327,2,93,139,150,False
328,1328,4,80,120,150,False
329,1329,6,74,111,150,True
330,1330,6,81,121,150,False
331,1331,8,97,145,150,False
332,1332,6,97,145,150,False
333,1333,5,79,118,150,False
334,1334,2,73,109,150,True
335,1335,8,84,126,150,False
336,1336,8,82,123,150,False
337,1337,1,97,145,150,False
338,1338,6,92,138,150,False
339,1339,6,96,144,150,False
340,1340,6,87,130,150,False
341,1341,4,87,130,150,False
342,1342,4,78,117,150,False
343,1343,3,76,114,150,False
344,1344,1,86,129,150,False
345,1345,7,79,118,150,False
346,1346,7,93,139,150,False
347,1347,4,85,127,150,False
348,1348,2,97,145,150,False
349,1349,3,78,117,150,False
350,1350,3,91,136,150,False
351,1351,4,84,126,150,False
352,1352,5,82,123,150,False
353,1353,8,85,127,150,False
354,1354,4,84,126,150,False
355,1355,8,87,130,150,False
356,1356,3,94,141,150,False
357,1357,7,100,150,150,False
358,1358,5,84,126,150,False
359,1359,2,98,147,150,False
360,1360,4,89,133,150,False
361,1361,1,90,135,150,False
362,1362,6,83,124,150,False
363,1363,5,79,118,150,False
364,1364,4,92,138,150,False
365,1365,4,85,127,150,False
366,1366,7,76,114,150,False
367,1367,2,95,142,150,False
368,1368,6,100,150,150,False
369,1369,3,100,150,150,False
370,1370,6,79,118,150,False
371,1371,5,82,123,150,False
372,1372,5,82,123,150,False
373,1373,1,85,127,150,False
374,1374,8,76,114,150,False
375,1375,4,79,118,150,False
376,1376,4,87,130,150,False
377,1377,7,86,129,150,False
378,1378,8,100,150,150,False
379,1379,5,88,132,150,False
380,1380,3,84,126,150,False
381,1381,4,80,120,150,False
382,1382,7,76,114,150,False
383,1383,6,77,115,150,False
384,1384,3,82,123,150,False
385,1385,7,77,115,150,False
386,1386,3,85,127,150,False
387,1387,5,83,124,150,False
388,1388,6,97,145,150,False
389,1389,3,98,147,150,False
390,1390,7,88,132,150,False
391,1391,8,99,148,150,False
392,1392,4,75,112,150,False
393,1393,5,72,108,150,True
394,1394,3,74,111,150,True
395,1395,5,95,142,150,False
396,1396,7,97,145,150,False
397,1397,8,79,118,150,False
398,1398,2,97,145,150,False
399,1399,2,97,145,150,False
400,1400,1,90,135,150,False
401,1401,3,79,118,150,False
402,1402,3,81,121,150,False
403,1403,7,86,129,150,False
404,1404,5,86,129,150,False
405,1405,1,82,123,150,False
406,1406,1,96,144,150,False
407,1407,8,82,123,150,False
408,1408,1,99,148,150,False
409,1409,2,73,109,150,True
410,1410,7,84,126,150,False
411,1411,6,95,142,150,False
412,1412,2,90,135,150,False
413,1413,6,87,130,150,False
414,1414,6,80,120,150,False
415,1415,5,82,123,150,False
416,1416,3,90,135,150,False
417,1417,6,82,123,150,False
418,1418,7,72,108,150,True
419,1419,4,91,136,150,False
420,1420,5,88,132,150,False
421,1421,2,81,121,150,False
422,1422,3,87,130,150,False
423,1423,3,97,145,150,False
424,1424,8,92,138,150,False
425,1425,6,79,118,150,False
426,1426,5,92,138,150,False
427,1427,3,94,141,150,False
428,1428,7,82,123,150,False
429,1429,7,85,127,150,False
430,1430,4,83,124,150,False
431,1431,8,92,138,150,False
432,1432,4,91,136,150,False
433,1433,6,90,135,150,False
434,1434,7,85,127,150,False
435,1435,4,86,129,150,False
436,1436,7,90,135,150,False
437,1437,3,77,115,150,False
438,1438,7,93,139,150,False
439,1439,1,83,124,150,False
440,1440,6,86,129,150,False
441,1441,2,91,136,150,False
442,1442,1,96,144,150,False
443,1443,4,96,144,150,False
444,1444,6,92,138,150,False
445,1445,5,85,127,150,False
446,1446,5,73,109,150,True
447,1447,1,83,124,150,False
448,1448,4,95,142,150,False
449,1449,6,97,145,150,False
450,1450,7,89,133,150,False
451,1451,6,96,144,150,False
452,1452,6,86,129,150,False
453,1453,3,80,120,150,False
454,1454,3,89,133,150,False
455,1455,8,100,150,150,False
456,1456,1,94,141,150,False
457,1457,8,87,130,150,False
458,1458,3,86,129,150,False
459,1459,6,83,124,150,False
460,1460,7,77,115,150,False
461,1461,2,89,133,150,False
462,1462,3,96,144,150,False
463,1463,5,97,145,150,False
464,1464,5,75,112,150,False
465,1465,5,82,123,150,False
466,1466,7,87,130,150,False
467,1467,4,79,118,150,False
468,1468,5,97,145,150,False
469,1469,1,85,127,150,False
470,1470,8,86,129,150,False
471,1471,7,92,138,150,False
472,1472,7,100,150,150,False
473,1473,8,92,138,150,False
474,1474,3,76,114,150,False
475,1475,4,88,132,150,False
476,1476,3,83,124,150,False
477,1477,6,98,147,150,False
478,1478,1,92,138,150,False
479,1479,2,99,148,150,False
480,1480,4,89,133,150,False
481,1481,4,100,150,150,False
482,1482,2,99,148,150,False
483,1483,4,89,133,150,False
484,1484,6,100,150,150,False
485,1485,3,76,114,150,False
486,1486,1,98,147,150,False
487,1487,5,95,142,150,False
488,1488,4,88,132,150,False
489,1489,1,76,114,150,False
490,1490,6,77,115,150,False
491,1491,6,88,132,150,False
492,1492,3,85,127,150,False
493,1493,4,81,121,150,False
494,1494,1,91,136,150,False
495,1495,5,97,145,150,False
496,1496,7,99,148,150,False
497,1497,8,100,150,150,False
498,1498,5,92,138,150,False
499,1499,5,71,106,150,True
500,1500,5,76,114,150,False
501,1501,5,100,150,150,False
502,1502,2,76,114,150,False
503,1503,3,66,99,150,True
504,1504,6,100,150,150,False
505,1505,3,86,129,150,False
506,1506,4,96,144,150,False
507,1507,8,86,129,150,False
508,1508,4,81,121,150,False
509,1509,8,91,136,150,False
510,1510,8,100,150,150,False
511,1511,4,77,115,150,False
512,1512,3,83,124,150,False
513,1513,7,92,138,150,False
514,1514,6,83,124,150,False
515,1515,2,82,123,150,False
516,1516,2,86,129,150,False
517,1517,1,70,105,150,True
518,1518,4,84,126,150,False
519,1519,6,86,129,150,False
520,1520,4,86,129,150,False
521,1521,1,84,126,150,False
522,1522,7,98,147,150,False
523,1523,4,89,133,150,False
524,1524,5,87,130,150,False
525,1525,8,82,123,150,False
526,1526,3,97,145,150,False
527,1527,8,97,145,150,False
528,1528,1,86,129,150,False
529,1529,7,94,141,150,False
530,1530,6,81,121,150,False
531,1531,5,87,130,150,False
532,1532,7,84,126,150,False
533,1533,1,76,114,150,False
534,1534,8,85,127,150,False
535,1535,3,80,120,150,False
536,1536,8,85,127,150,False
537,1537,4,80,120,150,False
538,1538,5,85,127,150,False
539,1539,1,82,123,150,False
540,1540,3,83,124,150,False
541,1541,8,94,141,150,False
542,1542,5,94,141,150,False
543,1543,7,89,133,150,False
544,1544,6,86,129,150,False
545,1545,7,87,130,150,False
546,1546,1,100,150,150,False
547,1547,1,90,135,150,False
548,1548,3,77,115,150,False
549,1549,6,100,150,150,False
550,1550,4,92,138,150,False
551,1551,8,84,126,150,False
552,1552,7,78,117,150,False
553,1553,7,84,126,150,False
554,1554,7,73,109,150,True
555,1555,6,95,142,150,False
556,1556,4,93,139,150,False
557,1557,2,88,132,150,False
558,1558,8,86,129,150,False
559,1559,2,100,150,150,False
560,1560,7,81,121,150,False
561,1561,8,74,111,150,True
562,1562,5,98,147,150,False
563,1563,1,82,123,150,False
564,1564,8,70,105,150,True
565,1565,7,78,117,150,False
566,1566,2,87,130,150,False
567,1567,1,78,117,150,False
568,1568,3,85,127,150,False
569,1569,3,84,126,150,False
570,1570,6,78,117,150,False
571,1571,1,87,130,150,False
572,1572,2,84,126,150,False
573,1573,1,87,130,150,False
574,1574,7,92,138,150,False
575,1575,1,100,150,150,False
576,1576,7,100,150,150,False
577,1577,4,88,132,150,False
578,1578,6,100,150,150,False
579,1579,6,89,133,150,False
580,1580,2,80,120,150,False
581,1581,6,91,136,150,False
582,1582,8,99,148,150,False
583,1583,3,100,150,150,False
584,1584,3,100,150,150,False
585,1585,5,82,123,150,False
586,1586,2,96,144,150,False
587,1587,7,93,139,150,False
588,1588,6,89,133,150,False
589,1589,1,90,135,150,False
590,1590,1,92,138,150,False
591,1591,6,70,105,150,True
592,1592,2,76,114,150,False
593,1593,5,81,121,150,False
594,1594,8,95,142,150,False
595,1595,4,84,126,150,False
596,1596,4,99,148,150,False
597,1597,5,94,141,150,False
598,1598,7,70,105,150,True
599,1599,2,81,121,150,False
600,1600,7,94,141,150,False
601,1601,5,92,138,150,False
602,1602,7,80,120,150,False
603,1603,6,100,150,150,False
604,1604,3,87,130,150,False
605,1605,2,87,130,150,False
606,1606,3,78,117,150,False
607,1607,5,92,138,150,False
608,1608,4,94,141,150,False
609,1609,8,90,135,150,False
610,1610,7,89,133,150,False
611,1611,4,86,129,150,False
612,1612,1,88,132,150,False
613,1613,6,91,136,150,False
614,1614,2,100,150,150,False
615,1615,4,95,142,150,False
616,1616,4,90,135,150,False
617,1617,4,78,117,150,False
618,1618,6,100,150,150,False
619,1619,1,84,126,150,False
620,1620,1,92,138,150,False
621,1621,7,90,135,150,False
622,1622,2,100,150,150,False
623,1623,4,85,127,150,False
624,1624,7,90,135,150,False
625,1625,3,94,141,150,False
626,1626,1,96,144,150,False
627,1627,4,91,136,150,False
628,1628,5,90,135,150,False
629,1629,3,85,127,150,False
630,1630,8,87,130,150,False
631,1631,3,86,129,150,False
632,1632,3,88,132,150,False
633,1633,7,91,136,150,False
634,1634,6,91,136,150,False
635,1635,5,89,133,150,False
636,1636,3,79,118,150,False
637,1637,3,92,138,150,False
638,1638,5,83,124,150,False
639,1639,6,75,112,150,False
640,1640,1,93,139,150,False
641,1641,2,95,142,150,False
642,1642,6,80,120,150,False
643,1643,3,93,139,150,False
644,1644,7,100,150,150,False
645,1645,1,86,129,150,False
646,1646,8,100,150,150,False
647,1647,4,86,129,150,False
648,1648,8,78,117,150,False
649,1649,3,88,132,150,False
650,1650,4,83,124,150,False
651,1651,7,90,135,150,False
652,1652,7,90,135,150,False
653,1653,8,74,111,150,True
654,1654,7,92,138,150,False
655,1655,2,77,115,150,False
656,1656,5,96,144,150,False
657,1657,7,90,135,150,False
658,1658,7,88,132,150,False
659,1659,3,81,121,150,False
660,1660,8,82,123,150,False
661,1661,2,92,138,150,False
662,1662,4,84,126,150,False
663,1663,6,76,114,150,False
664,1664,5,82,123,150,False
665,1665,4,88,132,150,False
666,1666,5,100,150,150,False
667,1667,3,93,139,150,False
668,1668,1,100,150,150,False
669,1669,5,89,133,150,False
670,1670,5,80,120,150,False
671,1671,1,89,133,150,False
672,1672,6,84,126,150,False
673,1673,7,79,118,150,False
674,1674,6,100,150,150,False
675,1675,2,80,120,150,False
676,1676,7,84,126,150,False
677,1677,4,100,150,150,False
678,1678,1,91,136,150,False
679,1679,7,71,106,150,True
680,1680,6,84,126,150,False
681,1681,3,96,144,150,False
682,1682,5,86,129,150,False
683,1683,4,100,150,150,False
684,1684,6,89,133,150,False
685,1685,3,89,133,150,False
686,1686,7,83,124,150,False
687,1687,2,74,111,150,True
688,1688,8,78,117,150,False
689,1689,1,99,148,150,False
690,1690,3,83,124,150,False
691,1691,7,97,145,150,False
692,1692,4,90,135,150,False
693,1693,6,83,124,150,False
694,1694,6,100,150,150,False
695,1695,2,99,148,150,False
696,1696,6,90,135,150,False
697,1697,4,100,150,150,False
698,1698,6,100,150,150,False
699,1699,3,95,142,150,False
700,1700,7,98,147,150,False
701,1701,7,82,123,150,False
702,1702,7,81,121,150,False
703,1703,8,90,135,150,False
704,1704,2,79,118,150,False
705,1705,8,86,129,150,False
706,1706,4,84,126,150,False
707,1707,4,85,127,150,False
708,1708,8,82,123,150,False
709,1709,8,77,115,150,False
710,1710,8,87,130,150,False
711,1711,3,87,130,150,False
712,1712,4,84,126,150,False
713,1713,1,89,133,150,False
714,1714,1,81,121,150,False
715,1715,2,100,150,150,False
716,1716,1,83,124,150,False
717,1717,7,85,127,150,False
718,1718,8,99,148,150,False
719,1719,7,73,109,150,True
720,1720,2,99,148,150,False
721,1721,4,87,130,150,False
722,1722,2,99,148,150,False
723,1723,5,79,118,150,False
724,1724,4,88,132,150,False
725,1725,3,97,145,150,False
726,1726,6,89,133,150,False
727,1727,2,98,147,150,False
728,1728,6,78,117,150,False
729,1729,7,89,133,150,False
730,1730,1,100,150,150,False
731,1731,3,100,150,150,False
732,1732,7,100,150,150,False
733,1733,2,79,118,150,False
734,1734,7,84,126,150,False
735,1735,3,87,130,150,False
736,1736,8,82,123,150,False
737,1737,7,81,121,150,False
738,1738,8,92,138,150,False
739,1739,8,100,150,150,False
740,1740,7,95,142,150,False
741,1741,8,99,148,150,False
742,1742,4,92,138,150,False
743,1743,3,87,130,150,False
744,1744,1,90,135,150,False
745,1745,6,84,126,150,False
746,1746,3,94,141,150,False
747,1747,4,79,118,150,False
748,1748,2,93,139,150,False
749,1749,7,80,120,150,False
750,1750,1,77,115,150,False
751,1751,1,89,133,150,False
752,1752,6,88,132,150,False
753,1753,5,86,129,150,False
754,1754,8,98,147,150,False
755,1755,8,94,141,150,False
756,1756,8,85,127,150,False
757,1757,5,83,124,150,False
758,1758,1,82,123,150,False
759,1759,7,89,133,150,False
760,1760,3,78,117,150,False
761,1761,5,97,145,150,False
762,1762,1,85,127,150,False
763,1763,5,88,132,150,False
764,1764,8,88,132,150,False
765,1765,5,90,135,150,False
766,1766,1,96,144,150,False
767,1767,4,93,139,150,False
768,1768,7,93,139,150,False
769,1769,7,85,127,150,False
770,1770,7,78,117,150,False
771,1771,4,80,120,150,False
772,1772,3,96,144,150,False
773,1773,4,93,139,150,False
774,1774,3,93,139,150,False
775,1775,6,97,145,150,False
776,1776,6,84,126,150,False
777,1777,7,83,124,150,False
778,1778,8,89,133,150,False
779,1779,4,88,132,150,False
780,1780,8,96,144,150,False
781,1781,7,72,108,150,True
782,1782,8,93,139,150,False
783,1783,1,79,118,150,False
784,1784,4,90,135,150,False
785,1785,5,92,138,150,False
786,1786,5,85,127,150,False
787,1787,2,87,130,150,False
788,1788,1,85,127,150,False
789,1789,3,97,145,150,False
790,1790,6,91,136,150,False
791,1791,1,89,133,150,False
792,1792,7,94,141,150,False
793,1793,3,91,136,150,False
794,1794,2,68,102,150,True
795,1795,2,91,136,150,False
796,1796,8,100,150,150,False
797,1797,6,86,129,150,False
798,1798,8,85,127,150,False
799,1799,5,87,130,150,False
800,1800,2,89,133,150,False
801,1801,4,84,126,150,False
802,1802,7,83,124,150,False
803,1803,8,86,129,150,False
804,1804,1,85,127,150,False
805,1805,8,94,141,150,False
806,1806,7,83,124,150,False
807,1807,4,92,138,150,False
808,1808,4,90,135,150,False
809,1809,4,82,123,150,False
810,1810,2,83,124,150,False
811,1811,6,69,103,150,True
812,1812,7,87,130,150,False
813,1813,1,96,144,150,False
814,1814,7,88,132,150,False
815,1815,7,82,123,150,False
816,1816,1,74,111,150,True
817,1817,5,89,133,150,False
818,1818,5,87,130,150,False
819,1819,4,97,145,150,False
820,1820,3,89,133,150,False
821,1821,5,89,133,150,False
822,1822,8,95,142,150,False
823,1823,3,94,141,150,False
824,1824,2,83,124,150,False
825,1825,5,77,115,150,False
826,1826,2,73,109,150,True
827,1827,1,90,135,150,False
828,1828,5,83,124,150,False
829,1829,4,81,121,150,False
830,1830,3,91,136,150,False
831,1831,1,70,105,150,True
832,1832,5,100,150,150,False
833,1833,6,100,150,150,False
834,1834,4,80,120,150,False
835,1835,6,88,132,150,False
836,1836,7,98,147,150,False
837,1837,2,96,144,150,False
838,1838,2,86,129,150,False
839,1839,8,87,130,150,False
840,1840,1,85,127,150,False
841,1841,1,91,136,150,False
842,1842,2,93,139,150,False
843,1843,7,82,123,150,False
844,1844,6,84,126,150,False
845,1845,8,89,133,150,False
846,1846,1,87,130,150,False
847,1847,7,85,127,150,False
848,1848,4,83,124,150,False
849,1849,3,91,136,150,False
850,1850,8,99,148,150,False
851,1851,6,75,112,150,False
852,1852,7,93,139,150,False
853,1853,8,77,115,150,False
854,1854,2,100,150,150,False
855,1855,2,91,136,150,False
856,1856,7,91,136,150,False
857,1857,4,83,124,150,False
858,1858,4,89,133,150,False
859,1859,2,91,136,150,False
860,1860,5,95,142,150,False
861,1861,1,83,124,150,False
862,1862,2,90,135,150,False
863,1863,3,88,132,150,False
864,1864,7,87,130,150,False
865,1865,2,79,118,150,False
866,1866,1,89,133,150,False
867,1867,7,97,145,150,False
868,1868,8,95,142,150,False
869,1869,2,87,130,150,False
870,1870,1,71,106,150,True
871,1871,6,95,142,150,False
872,1872,8,96,144,150,False
873,1873,6,93,139,150,False
874,1874,8,91,136,150,False
875,1875,7,88,132,150,False
876,1876,1,87,130,150,False
877,1877,6,72,108,150,True
878,1878,8,85,127,150,False
879,1879,5,95,142,150,False
880,1880,1,97,145,150,False
881,1881,5,81,121,150,False
882,1882,4,83,124,150,False
883,1883,2,72,108,150,True
884,1884,2,79,118,150,False
885,1885,1,93,139,150,False
886,1886,6,85,127,150,False
887,1887,2,86,129,150,False
888,1888,2,92,138,150,False
889,1889,2,100,150,150,False
890,1890,1,84,126,150,False
891,1891,8,81,121,150,False
892,1892,6,87,130,150,False
893,1893,5,74,111,150,True
894,1894,7,87,130,150,False
895,1895,2,81,121,150,False
896,1896,2,85,127,150,False
897,1897,4,97,145,150,False
898,1898,2,86,129,150,False
899,1899,8,76,114,150,False
900,1900,8,94,141,150,False
901,1901,5,96,144,150,False
902,1902,1,91,136,150,False
903,1903,5,86,129,150,False
904,1904,4,99,148,150,False
905,1905,5,90,135,150,False
906,1906,5,89,133,150,False
907,1907,8,85,127,150,False
908,1908,4,83,124,150,False
909,1909,8,100,150,150,False
910,1910,6,80,120,150,False
911,1911,2,94,141,150,False
912,1912,6,100,150,150,False
913,1913,6,83,124,150,False
914,1914,1,89,133,150,False
915,1915,2,81,121,150,False
916,1916,4,99,148,150,False
917,1917,5,86,129,150,False
918,1918,2,91,136,150,False
919,1919,8,89,133,150,False
920,1920,4,90,135,150,False
921,1921,3,100,150,150,False
922,1922,4,95,142,150,False
923,1923,3,78,117,150,False
924,1924,5,76,114,150,False
925,1925,6,74,111,150,True
926,1926,7,100,150,150,False
927,1927,8,89,133,150,False
928,1928,8,88,132,150,False
